SEQN,Grocery,Nonfood,Other,EatOut,Delivery
83732,300,30,5.40E-79,125,5.40E-79
83733,200,5.40E-79,50,40,5.40E-79
83734,400,80,5.40E-79,5.40E-79,5.40E-79
83735,300,100,250,50,5.40E-79
83736,300,5.40E-79,5.40E-79,200,5.40E-79
83737,180,5.40E-79,270,300,5.40E-79
83738,450,5.40E-79,20,25,5.40E-79
83739,500,5.40E-79,100,50,50
83740,500,5.40E-79,5.40E-79,5.40E-79,5.40E-79
83741,5.40E-79,5.40E-79,500,999999,5.40E-79
83742,857,107,5.40E-79,50,5.40E-79
83743,428,5.40E-79,642,642,5.40E-79
83744,100,50,385,257,107
83745,300,5.40E-79,7,5.40E-79,5.40E-79
83746,800,5.40E-79,5.40E-79,999999,100
83747,200,20,5.40E-79,5.40E-79,28
83748,300,5.40E-79,100,60,70
83749,857,171,5.40E-79,428,75
83750,257,5.40E-79,5.40E-79,30,30
83751,200,5.40E-79,100,100,5.40E-79
83752,300,120,100,300,300
83753,100,100,150,90,25
83754,600,5.40E-79,100,200,5.40E-79
83755,200,30,20,60,40
83756,350,5.40E-79,150,100,5.40E-79
83757,400,5.40E-79,50,50,5.40E-79
83758,500,50,5.40E-79,50,5.40E-79
83759,450,80,200,100,60
83760,700,5.40E-79,700,385,40
83761,171,5.40E-79,171,171,342
83762,300,5.40E-79,300,100,150
83763,857,100,5.40E-79,100,5.40E-79
83764,800,5.40E-79,80,171,5.40E-79
83765,400,150,50,5.40E-79,100
83766,800,5.40E-79,600,500,50
83767,400,5.40E-79,999999,942,125
83768,600,5.40E-79,50,100,30
83769,857,5.40E-79,428,128,5.40E-79
83770,470,100,100,60,50
83771,,,,,
83772,300,5.40E-79,300,5.40E-79,5.40E-79
83773,300,200,300,100,5.40E-79
83774,700,5.40E-79,400,100,50
83775,257,85,171,999999,5.40E-79
83776,428,107,50,400,40
83777,600,5.40E-79,100,50,5.40E-79
83778,200,5.40E-79,50,150,100
83779,1071,5.40E-79,5.40E-79,35,5.40E-79
83780,180,5.40E-79,270,300,5.40E-79
83781,250,16,10,5.40E-79,5.40E-79
83782,600,5.40E-79,5.40E-79,50,5.40E-79
83783,214,42,160,642,50
83784,,,,,
83785,300,50,100,214,85
83786,300,75,100,100,5.40E-79
83787,999999,999999,200,60,30
83788,300,30,5.40E-79,48,5.40E-79
83789,5900,60,5.40E-79,150,5.40E-79
83790,194,5.40E-79,30,25,25
83791,428,85,5.40E-79,5.40E-79,5.40E-79
83792,250,5.40E-79,214,100,20
83793,500,214,80,60,5.40E-79
83794,1071,171,200,257,5.40E-79
83795,600,50,5.40E-79,300,5.40E-79
83796,900,240,30,520,5.40E-79
83797,500,5.40E-79,200,300,150
83798,400,100,300,428,214
83799,857,5.40E-79,5.40E-79,100,100
83800,642,85,100,171,85
83801,500,999999,100,342,5.40E-79
83802,,,,,
83803,150,35,42,115,40
83804,999999,999999,999999,999999,999999
83805,300,5.40E-79,5.40E-79,100,100
83806,450,5.40E-79,5.40E-79,50,5.40E-79
83807,428,5.40E-79,200,428,5.40E-79
83808,600,5.40E-79,200,200,50
83809,500,50,5.40E-79,100,5.40E-79
83810,600,75,125,200,100
83811,1714,5.40E-79,214,214,128
83812,500,200,5.40E-79,300,5.40E-79
83813,200,5.40E-79,5.40E-79,40,5.40E-79
83814,900,150,5.40E-79,100,40
83815,900,5.40E-79,300,9,5.40E-79
83816,300,20,5.40E-79,5.40E-79,5.40E-79
83817,500,5.40E-79,100,50,50
83818,200,30,5.40E-79,5.40E-79,5.40E-79
83819,350,5.40E-79,50,80,30
83820,428,214,428,150,5.40E-79
83821,212,8,5.40E-79,5.40E-79,5.40E-79
