GeoID,Year,D_Etab,D_Emp,D_Pay,G_Etab,G_Emp,G_Pay
1001,2015,11,93,1703,5,283,5691
1003,2015,50,429,7054,30,1774,36515
1005,2015,8,60,844,4,159,2733
1007,2015,5,40,596,5,111,2497
1015,2015,34,263,4461,29,832,15066
1017,2015,10,72,1020,7,225,3736
1019,2015,9,54,794,5,98,1727
1021,2015,9,74,1066,7,179,3820
1025,2015,14,131,1866,6,290,4709
1027,2015,5,36,534,3,103,1440
1031,2015,13,113,1696,6,266,5752
1033,2015,16,116,1863,8,340,4763
1039,2015,13,102,1392,6,300,5120
1043,2015,25,204,3371,17,621,10088
1045,2015,13,112,1575,6,106,2169
1047,2015,14,119,1566,8,253,4960
1049,2015,17,141,2240,14,326,5161
1051,2015,18,137,2200,8,293,5800
1053,2015,15,209,2062,4,177,2949
1055,2015,28,272,4093,14,462,9013
1059,2015,7,74,1012,9,195,3196
1061,2015,8,60,1086,10,273,4052
1067,2015,4,35,554,3,85,1158
1069,2015,32,271,3920,16,863,18506
1071,2015,12,72,1450,10,218,3099
1073,2015,128,1296,19553,105,5189,107877
1075,2015,7,40,904,3,77,1235
1077,2015,27,194,3162,21,737,12851
1081,2015,26,257,3901,18,982,20343
1083,2015,16,124,2080,9,361,8648
1087,2015,6,51,805,4,121,1806
1089,2015,68,639,9934,44,2514,56462
1091,2015,8,88,1009,3,113,1927
1093,2015,7,50,823,4,65,1399
1095,2015,25,241,3528,23,716,11545
1097,2015,110,988,14831,59,2730,50585
1099,2015,9,64,984,5,151,2136
1101,2015,47,496,7279,33,1685,30313
1103,2015,27,201,3176,18,594,13906
1105,2015,4,25,400,3,52,915
1107,2015,7,55,860,4,131,1907
1109,2015,8,65,881,6,170,2876
1111,2015,8,50,691,3,132,2444
1113,2015,21,202,3044,11,333,6439
1115,2015,23,151,2443,14,269,5939
1117,2015,25,202,3232,28,1449,35800
1119,2015,6,46,672,3,67,760
1121,2015,25,185,2821,8,322,6504
1123,2015,16,119,1809,7,367,5194
1125,2015,38,405,6043,25,1423,28177
1127,2015,20,165,2519,10,343,5829
1131,2015,6,47,682,6,56,1052
1133,2015,7,55,774,6,199,3839
2020,2015,6,57,1952,33,1445,43417
2050,2015,14,269,2760,22,466,8435
2122,2015,5,27,760,19,627,19323
2180,2015,3,41,584,18,261,5420
2185,2015,5,26,512,8,133,3562
2270,2015,3,24,366,14,200,3184
2290,2015,4,29,424,9,32,810
4001,2015,9,74,961,9,330,6830
4003,2015,19,174,2293,17,684,17016
4005,2015,17,133,2294,21,1366,31819
4007,2015,7,68,912,7,356,9564
4013,2015,241,3178,50788,496,30021,770632
4015,2015,32,331,5217,19,1421,35360
4017,2015,22,156,2442,14,697,15982
4019,2015,91,992,14982,132,8096,207063
4021,2015,30,322,5050,30,1631,40015
4023,2015,12,88,1476,9,270,6567
4025,2015,31,275,4326,30,2023,51424
4027,2015,24,227,3506,31,1104,23638
5001,2015,6,42,698,4,203,3023
5005,2015,10,81,1327,7,322,5667
5007,2015,31,232,3939,36,1679,40711
5009,2015,12,122,2019,7,166,3571
5015,2015,8,48,765,5,140,2838
5023,2015,9,72,939,7,133,2466
5027,2015,7,66,965,3,88,1642
5029,2015,7,33,608,4,89,1892
5031,2015,27,198,3195,21,721,14537
5035,2015,14,114,1629,8,380,5842
5045,2015,23,187,2745,13,880,17274
5051,2015,25,215,3188,16,617,12787
5055,2015,9,64,1052,7,232,3559
5057,2015,5,54,780,3,97,1980
5059,2015,8,45,755,6,124,1857
5063,2015,9,59,1000,7,184,3551
5065,2015,8,47,674,4,107,1428
5067,2015,6,25,447,3,112,1750
5069,2015,23,201,3079,16,580,9925
5085,2015,19,131,2067,8,374,7018
5091,2015,11,76,1231,7,221,3155
5093,2015,12,109,1597,12,315,5646
5103,2015,8,65,929,5,162,2651
5107,2015,9,46,598,7,95,1649
5111,2015,9,63,873,5,151,2248
5113,2015,7,52,870,4,52,833
5115,2015,16,164,2395,8,454,9357
5119,2015,74,707,10604,58,2928,62890
5123,2015,8,73,809,6,74,1373
5125,2015,26,177,3100,11,478,8324
5129,2015,3,22,242,3,80,1133
5131,2015,23,220,3810,18,525,11645
5135,2015,7,47,647,3,78,1238
5139,2015,12,114,1617,8,205,3946
5143,2015,28,194,3145,35,1837,38140
5145,2015,26,182,2929,13,519,9164
6001,2015,59,1165,15818,370,13748,403050
6007,2015,20,273,4111,50,1767,50667
6009,2015,4,16,160,11,514,10607
6011,2015,5,20,361,9,92,1957
6013,2015,45,918,13665,204,9680,295473
6017,2015,8,118,2726,35,1778,50995
6019,2015,86,1126,16888,248,6251,163954
6021,2015,4,35,539,8,120,2753
6023,2015,15,136,2207,43,1445,38813
6025,2015,19,315,4728,33,908,22832
6029,2015,93,1067,17485,190,5968,131220
6031,2015,10,140,2075,30,682,17839
6035,2015,3,34,302,7,200,5458
6037,2015,661,10175,190835,2056,78734,2060293
6039,2015,10,158,2297,36,1047,28668
6041,2015,13,180,2847,71,3767,120554
6045,2015,12,98,1345,46,1435,39466
6047,2015,23,359,5415,65,1310,34322
6053,2015,24,273,4705,113,3139,89475
6055,2015,5,29,745,40,1664,47654
6057,2015,5,46,622,28,1306,37064
6059,2015,162,2698,48038,525,27450,727412
6061,2015,20,301,4779,67,3963,112376
6065,2015,138,2176,32300,367,17481,485161
6067,2015,67,1775,19592,276,11308,311012
6071,2015,152,2750,46132,317,13746,365103
6073,2015,133,2572,42152,615,27228,694677
6075,2015,32,390,8104,371,8140,243900
6077,2015,38,836,11926,153,4170,118494
6079,2015,12,211,3218,80,2955,69006
6081,2015,25,657,14748,180,7129,221543
6083,2015,20,337,4791,133,4868,124718
6085,2015,59,993,14894,362,15561,454349
6087,2015,12,177,2889,71,3110,91485
6089,2015,17,212,3074,38,1361,38679
6095,2015,17,387,5174,74,3381,90492
6097,2015,27,337,4483,138,6350,179972
6099,2015,41,628,8664,134,3903,106719
6101,2015,5,123,1525,20,577,15625
6103,2015,7,77,1224,12,407,10309
6107,2015,45,526,8140,119,2940,70063
6109,2015,8,87,1127,16,507,15131
6111,2015,58,852,13925,175,7460,198013
6113,2015,14,187,2496,42,2147,58697
6115,2015,5,44,795,10,204,5678
8001,2015,32,307,5039,65,3251,91339
8005,2015,39,451,7299,97,5830,176890
8007,2015,3,30,224,4,120,3980
8013,2015,6,93,1279,58,4059,119467
8015,2015,3,8,336,7,155,4696
8029,2015,4,32,564,6,264,7036
8031,2015,38,395,6310,127,5695,167134
8035,2015,7,52,865,27,2251,72399
8037,2015,5,21,477,17,903,27927
8041,2015,42,463,7527,59,3984,109042
8043,2015,3,34,321,5,221,6161
8059,2015,33,381,5638,61,4819,149860
8063,2015,3,29,609,4,48,1039
8069,2015,18,256,3581,36,2648,72759
8071,2015,4,32,602,4,83,2257
8077,2015,11,97,1577,21,1208,33570
8083,2015,4,39,854,5,212,5722
8085,2015,6,32,543,9,407,11395
8099,2015,6,98,2753,3,76,1986
8101,2015,26,218,3862,16,966,24668
8123,2015,21,162,2617,30,1606,44373
8125,2015,5,45,470,4,133,2488
9001,2015,42,385,5026,213,10831,306440
9003,2015,90,1062,18859,262,10440,239638
9005,2015,12,116,2421,44,2491,56727
9007,2015,11,154,3006,30,1616,41301
9009,2015,78,890,15111,205,8716,205963
9011,2015,29,313,6044,40,2811,61463
9013,2015,7,58,1002,16,1821,32491
9015,2015,16,191,3052,23,1107,21852
10001,2015,22,225,3519,25,1114,18732
10003,2015,53,873,12395,92,4959,99102
10005,2015,46,387,6271,48,1871,40424
11001,2015,23,171,3388,190,5172,119704
12001,2015,32,279,4602,41,3131,65367
12005,2015,46,330,5938,31,1406,32800
12009,2015,66,618,8879,83,4872,110017
12011,2015,188,1668,26066,389,18802,441197
12013,2015,5,51,499,4,107,1894
12015,2015,15,146,2130,20,1566,35534
12017,2015,31,269,4786,16,1248,26419
12019,2015,21,181,2943,22,1512,32574
12021,2015,29,250,4282,60,4145,102853
12023,2015,18,148,2510,10,386,7967
12027,2015,7,42,709,6,122,2529
12031,2015,130,1345,21715,170,8242,186177
12033,2015,56,449,7393,49,1838,40545
12039,2015,11,75,1259,8,233,4323
12051,2015,8,84,1237,10,262,4711
12053,2015,29,388,6958,22,1676,35399
12055,2015,20,130,2287,14,719,15042
12057,2015,158,1298,21774,277,12018,250814
12059,2015,6,43,693,3,111,1583
12061,2015,16,147,2066,28,1630,36312
12063,2015,20,138,2328,8,237,4174
12069,2015,50,477,7191,39,2384,53507
12071,2015,84,783,12479,115,7009,165917
12073,2015,40,375,5230,37,2949,59262
12079,2015,6,43,570,3,159,2798
12081,2015,38,356,5579,50,3282,70724
12083,2015,69,535,8336,56,2812,61950
12085,2015,14,143,1915,36,1843,40748
12086,2015,332,2055,36416,659,23679,535667
12087,2015,16,115,2248,25,1345,33744
12089,2015,13,74,1375,10,706,15503
12091,2015,38,308,5480,26,1413,32235
12095,2015,160,1315,21280,234,11074,253328
12097,2015,45,389,5658,48,2503,55572
12099,2015,95,1006,14460,282,15181,375271
12101,2015,73,598,9434,67,4203,87346
12103,2015,107,912,14403,200,10755,234646
12105,2015,99,860,14447,84,4644,96239
12107,2015,26,186,2855,13,498,8994
12109,2015,20,150,2514,30,2359,53849
12111,2015,25,251,3565,43,1990,47650
12113,2015,26,198,3169,15,865,20040
12115,2015,36,352,5385,89,4909,113401
12117,2015,48,362,6830,67,4503,98405
12121,2015,8,81,1248,6,230,4853
12127,2015,81,724,11667,69,4540,103055
12131,2015,10,62,990,10,600,15078
13009,2015,12,111,1745,7,450,7153
13015,2015,21,174,2493,16,665,12675
13019,2015,7,85,894,6,132,2834
13021,2015,41,423,6297,35,1485,30281
13027,2015,5,36,554,3,83,1638
13029,2015,6,60,745,7,430,8460
13031,2015,13,130,1819,12,416,8361
13039,2015,10,79,1199,6,304,6234
13045,2015,32,254,4478,26,1018,19587
13047,2015,11,119,1733,7,169,3580
13051,2015,46,382,6328,54,2605,54821
13057,2015,18,141,2214,35,2037,45122
13059,2015,18,153,2672,25,931,18683
13063,2015,53,475,7580,50,1402,27815
