GeoID,Pop_2010,FD_num_2010,FD_pct_2010
1001,54571,18428,33.77
1003,182265,35211,19.32
1005,27457,5722,20.84
1007,22915,1045,4.56
1009,57322,1548,2.7
1011,10914,4090,37.47
1013,20947,1308,6.24
1015,118572,30901,26.06
1017,34215,6748,19.72
1019,25989,79,0.31
1021,43643,1457,3.34
1023,13859,2612,18.85
1025,25833,5061,19.59
1027,13932,743,5.33
1029,14972,147,0.98
1031,49948,11395,22.81
1033,54428,9520,17.49
1035,13228,3726,28.17
1037,11539,2837,24.59
1039,37765,3334,8.83
1041,13906,5384,38.72
1043,80406,6295,7.83
1045,50251,13847,27.56
1047,43820,7786,17.77
1049,71109,2680,3.77
1051,79303,15012,18.93
1053,38319,5189,13.54
1055,104430,24779,23.73
1057,17241,438,2.54
1059,31704,3074,9.7
1061,26790,606,2.26
1063,9045,3287,36.34
1065,15760,87,0.55
1067,17302,386,2.23
1069,101547,21404,21.08
1071,53227,4855,9.12
1073,658466,209261,31.78
1075,14564,92,0.63
1077,92709,14584,15.73
1079,34339,1349,3.93
1081,140247,43795,31.23
1083,82782,10137,12.25
1085,11299,5503,48.7
1087,21452,7506,34.99
1089,334811,110052,32.87
1091,21027,5587,26.57
1093,30776,538,1.75
1095,93019,12814,13.78
1097,412992,112774,27.31
1099,23068,7149,30.99
1101,229363,64260,28.02
1103,119490,14010,11.72
1105,10591,972,9.17
1107,19746,851,4.31
1109,32899,3733,11.35
1111,22913,1061,4.63
1113,52947,8512,16.08
1115,83593,3744,4.48
1117,195085,52014,26.66
1119,13763,2224,16.16
1121,82291,12352,15.01
1123,41616,4598,11.05
1125,194656,39478,20.28
1127,67023,7530,11.23
1129,17581,1708,9.72
1131,11670,5173,44.33
1133,24484,1011,4.13
2013,3141,1226,39.03
2016,5561,764,13.75
2020,291826,87979,30.15
2050,17013,13273,78.01
2060,997,434,43.54
2068,1826,1826,100.0
2070,4847,1579,32.57
2090,97581,36249,37.15
2100,2508,519,20.7
2105,2150,1695,78.83
2110,31275,10138,32.42
2122,55400,11290,20.38
2130,13477,1036,7.69
2150,13592,1416,10.42
2164,1631,1631,100.0
2170,88995,20436,22.96
2180,9492,5066,53.37
2185,9430,3629,38.48
2188,7523,4322,57.45
2195,3815,183,4.81
2198,5559,1391,25.01
2220,8881,1617,18.21
2230,968,3,0.31
2240,7029,2043,29.07
2261,9636,2694,27.95
2275,2369,511,21.55
2282,662,3,0.38
2290,5588,5588,100.0
4001,71518,46747,65.36
4003,131346,51625,39.3
4005,134421,40657,30.25
4007,53597,12811,23.9
4009,37220,11663,31.33
4011,8437,5957,70.61
4012,20489,8878,43.33
4013,3817117,492281,12.9
4015,200186,88374,44.15
4017,107449,35575,33.11
4019,980263,232208,23.69
4021,375770,65190,17.35
4023,47420,13052,27.52
4025,211033,70248,33.29
4027,195751,43753,22.35
5001,19019,4198,22.07
5003,21853,4342,19.87
5005,41513,4980,12.0
5007,221339,43591,19.69
5009,36903,11075,30.01
5011,11508,1255,10.9
5013,5368,3508,65.34
5015,27446,2359,8.6
5017,11800,602,5.1
5019,22995,2102,9.14
5021,16083,1676,10.42
5023,25970,3546,13.66
5025,8689,2129,24.5
5027,24552,4406,17.95
5029,21273,4502,21.16
5031,96443,24130,25.02
5033,61948,13071,21.1
5035,50902,6121,12.03
5037,17870,2947,16.49
5039,8116,1526,18.81
5041,13008,3930,30.21
5043,18509,3526,19.05
5045,113237,28689,25.34
5047,18125,1894,10.45
5049,12245,2320,18.95
5051,96024,30262,31.52
5053,17853,2120,11.88
5055,42090,9286,22.06
5057,22609,5535,24.48
5059,32923,6021,18.29
5061,13789,2028,14.71
5063,36647,6847,18.68
5065,13696,810,5.92
5067,17997,2483,13.79
5069,77435,13186,17.03
5071,25540,2319,9.08
5073,7645,1614,21.11
5075,17415,4397,25.25
5077,10424,3276,31.42
5079,14134,4853,34.33
5081,13171,863,6.55
5083,22353,3074,13.75
5085,68356,13017,19.04
5087,15717,4104,26.11
5089,16653,2255,13.54
5091,43462,10974,25.25
5093,46480,6002,12.91
5095,8149,1020,12.52
5097,9487,2235,23.55
5099,8997,2374,26.38
5101,8330,2940,35.29
5103,26120,7349,28.13
5105,10445,1108,10.6
5107,21757,8042,36.96
5109,11291,2201,19.49
5111,24583,2797,11.38
5113,20662,7612,36.84
5115,61754,8744,14.16
5117,8715,535,6.14
5119,382748,116978,30.56
5121,17969,5510,30.66
5123,28258,8547,30.24
5125,107118,24019,22.42
5127,11233,2004,17.84
5129,8195,2726,33.26
5131,125744,17987,14.3
5133,17058,5789,33.93
5135,17264,3570,20.68
5137,12394,3035,24.49
5139,41639,9035,21.7
5141,17295,2223,12.86
5143,203065,40441,19.92
5145,77076,11024,14.3
5147,7260,387,5.33
5149,22185,1670,7.53
6001,1510271,160425,10.62
6003,1175,653,55.54
6005,38091,4760,12.5
6007,220000,48749,22.16
6009,45578,3907,8.57
6011,21419,1771,8.27
6013,1049025,206022,19.64
6015,28610,7755,27.11
6017,181058,50566,27.93
6019,930450,113632,12.21
6021,28122,3631,12.91
6023,134623,21978,16.33
6025,174528,28181,16.15
6027,18546,7629,41.14
6029,839631,128065,15.25
6031,152982,32733,21.4
6033,64665,11383,17.6
6035,34895,16856,48.3
6037,9818605,613459,6.25
6039,150865,29906,19.82
6041,252409,41396,16.4
6043,18251,3156,17.29
6045,87841,15812,18.0
6047,255793,36594,14.31
6049,9686,3463,35.75
6051,14202,6813,47.97
6053,415057,49442,11.91
6055,136484,19302,14.14
6057,98764,23640,23.94
6059,3010232,220587,7.33
6061,348432,53006,15.21
6063,20007,1538,7.69
6065,2189641,433981,19.82
6067,1418788,190246,13.41
6069,55269,9763,17.66
6071,2035210,454074,22.31
6073,3095313,456714,14.76
6075,805235,26692,3.31
6077,685306,77979,11.38
6079,269637,45983,17.05
6081,718451,82647,11.5
6083,423895,58464,13.79
6085,1781642,170081,9.55
6087,262382,42380,16.15
6089,177223,40860,23.06
6091,3240,2855,88.12
6093,44900,8789,19.57
6095,413344,92520,22.38
6097,483878,79444,16.42
6099,514453,68988,13.41
6101,94737,33413,35.27
6103,63463,9968,15.71
6105,13786,2318,16.82
6107,442179,63227,14.3
6109,55365,15505,28.01
6111,823318,127283,15.46
6113,200849,18875,9.4
6115,72155,14988,20.77
8001,441603,65746,14.89
8003,15445,1024,6.63
8005,572003,97261,17.0
8007,12084,2741,22.69
8009,3788,955,25.22
8011,6499,1670,25.69
8013,294567,45863,15.57
8014,55889,8381,15.0
8015,17809,1360,7.63
8017,1836,622,33.86
8019,9088,1263,13.9
8021,8256,464,5.62
8023,3524,3522,99.94
8025,5823,3114,53.48
8027,4255,1053,24.74
8029,30952,1357,4.38
8031,600158,85517,14.25
8033,2064,414,20.04
8035,285465,52932,18.54
8037,52197,7969,15.27
8039,23086,6389,27.68
8041,622263,184059,29.58
8043,46824,14902,31.83
8045,56389,11041,19.58
8047,5441,0,0.0
8049,14843,2882,19.41
8051,15324,1845,12.04
8053,843,843,100.0
8055,6711,2482,36.99
8057,1394,382,27.42
8059,534543,129669,24.26
8061,1398,1398,100.0
8063,8270,2155,26.06
8065,7310,5113,69.94
8067,51334,7611,14.83
8069,299630,67259,22.45
8071,15507,6181,39.86
8073,5467,1253,22.93
8075,22709,4585,20.19
8077,146723,46309,31.56
8079,712,682,95.75
8081,13795,3229,23.4
8083,25535,4395,17.21
8085,41276,8138,19.72
8087,28159,3336,11.85
8089,18831,5765,30.62
8091,4436,324,7.31
8093,16206,9484,58.52
8095,4442,1460,32.88
8097,17148,1759,10.26
8099,12551,3793,30.22
8101,159063,67049,42.15
8103,6666,574,8.61
8105,11982,696,5.81
8107,23509,6058,25.77
8109,6108,5963,97.63
8111,699,694,99.24
8113,7359,693,9.42
8115,2379,449,18.86
8117,27994,8108,28.96
8119,23350,5986,25.63
8121,4814,2485,51.62
8123,252825,38751,15.33
8125,10043,2301,22.91
9001,916829,262579,28.64
9003,894014,281196,31.45
9005,189927,30056,15.83
9007,165676,55378,33.43
9009,862477,252394,29.26
9011,274055,78554,28.66
9013,152691,50030,32.77
9015,118428,22160,18.71
10001,162310,31140,19.19
10003,538479,164990,30.64
10005,197145,34073,17.28
11001,601723,16971,2.82
12001,247336,49066,19.84
12003,27115,9154,33.76
12005,168852,61403,36.37
12007,28520,1627,5.71
12009,543376,215761,39.71
12011,1748066,196467,11.24
12013,14625,3756,25.68
12015,159978,68289,42.69
12017,141236,41744,29.56
12019,190865,44093,23.1
12021,321520,90021,28.0
12023,67531,11177,16.55
12027,34862,3913,11.22
12029,16422,999,6.09
12031,864263,215253,24.91
12033,297619,118775,39.91
12035,95696,33565,35.07
12037,11549,374,3.24
12039,46389,4814,10.38
12041,16939,99,0.58
12043,12884,2936,22.79
12045,15863,2541,16.02
12047,14799,3269,22.09
12049,27731,8722,31.45
12051,39140,9513,24.3
12053,172778,56351,32.61
12055,98786,36950,37.4
12057,1229226,309584,25.19
12059,19927,3714,18.64
12061,138028,63560,46.05
12063,49746,3390,6.81
12065,14761,2400,16.26
12067,8870,697,7.86
12069,297052,90087,30.33
12071,618754,173208,27.99
12073,275487,85474,31.03
12075,40801,3954,9.69
12077,8365,2171,25.95
12079,19224,4279,22.26
12081,322833,74392,23.04
12083,331298,83159,25.1
12085,146318,47216,32.27
12086,2496435,162697,6.52
12087,73090,24640,33.71
12089,73314,18146,24.75
12091,180822,63479,35.11
12093,39996,17474,43.69
12095,1145956,224405,19.58
12097,268685,53070,19.75
12099,1320134,270362,20.48
12101,464697,103438,22.26
12103,916542,160837,17.55
12105,602095,190205,31.59
12107,74364,18371,24.7
12109,190039,47980,25.25
12111,277789,98693,35.53
12113,151372,62112,41.03
12115,379448,105119,27.7
12117,422718,137195,32.46
12119,93420,9896,10.59
12121,41551,7180,17.28
12123,22570,5340,23.66
12125,15535,3808,24.51
12127,494593,150118,30.35
12129,30776,365,1.19
12131,55043,10393,18.88
12133,24896,11529,46.31
13001,18236,3655,20.05
13003,8375,1925,22.99
13005,11096,788,7.11
13007,3451,2652,76.84
13009,45720,8230,18.0
13011,18395,1826,9.93
13013,69367,10201,14.71
13015,100157,33460,33.41
13017,17634,3939,22.34
13019,19286,2663,13.81
13021,155547,35466,22.8
13023,13063,955,7.31
13025,18411,2834,15.39
13027,16243,1355,8.34
