GeoID,County,State,Pop_2000,Pop_2001,Pop_2002,Pop_2003,Pop_2004,Pop_2005,Pop_2006,Pop_2007,Pop_2008,Pop_2009,Pop_2010,Pop_2011,Pop_2012,Pop_2013,Pop_2014,Pop_2015,Pop_2016,Pop_2017,Pop_2018
1001,Autauga County,Alabama,44021,44889,45909,46800,48366,49676,51328,52405,53277,54135,54571,55208,54936,54713,54876,54838,55242,55443,55601
1003,Baldwin County,Alabama,141342,144875,147957,151509,156266,162183,168121,172404,175827,179406,182265,186540,190143,194886,199189,202995,207712,212619,218022
1005,Barbour County,Alabama,29015,28863,28653,28594,28287,28027,27861,27757,27808,27657,27457,27350,27174,26944,26758,26294,25819,25158,24881
1007,Bibb County,Alabama,19913,21028,21199,21399,21721,22042,22099,22438,22705,22941,22915,22747,22664,22516,22541,22562,22576,22555,22400
1009,Blount County,Alabama,51107,51845,52551,53457,54124,54624,55485,56240,57055,57341,57322,57554,57570,57611,57521,57522,57517,57827,57840
1011,Bullock County,Alabama,11581,11358,11256,11316,11056,11011,10776,11011,10953,10987,10914,10677,10607,10551,10665,10400,10381,10176,10138
48379,Bullock County,Alabama,11581,11358,11256,11316,11056,11011,10776,11011,10953,10987,10914,11002,10939,11032,11012,11136,11306,11751,12159
1011,Rains County,Texas,9196,9664,9985,10290,10446,10589,10830,10994,11022,10956,10914,10677,10607,10551,10665,10400,10381,10176,10138
48379,Rains County,Texas,9196,9664,9985,10290,10446,10589,10830,10994,11022,10956,10914,11002,10939,11032,11012,11136,11306,11751,12159
1013,Butler County,Alabama,21325,21139,20803,20833,20870,20830,20815,20894,20949,20867,20947,20878,20687,20374,20343,20176,20029,19898,19680
1015,Calhoun County,Alabama,111081,111266,111625,112705,113462,114477,115388,116211,117274,118363,118572,117797,117257,116541,115995,115536,115018,114664,114277
1017,Chambers County,Alabama,36571,36274,35965,35680,35463,35279,34945,34847,34563,34384,34215,34030,34104,34143,33980,34007,33771,33758,33615
1019,Cherokee County,Alabama,24006,24182,24403,24591,24887,25031,25466,25553,25636,25854,25989,25994,25963,26025,25902,25739,25776,25815,26032
1021,Chilton County,Alabama,39897,40197,40683,41079,41534,41946,42318,42881,43239,43484,43643,43687,43582,43634,43769,43717,43896,44117,44153
1023,Choctaw County,Alabama,15875,15677,15367,15199,14930,14545,14431,14216,14114,13976,13859,13607,13561,13396,13317,13233,13049,12935,12841
1025,Clarke County,Alabama,27819,27624,27267,27090,26958,26764,26755,26436,26283,26038,25833,25582,25154,25122,24865,24703,24349,24097,23920
1027,Clay County,Alabama,14263,14298,14257,14203,14121,14077,14053,14085,14161,14006,13932,13686,13432,13404,13440,13413,13393,13367,13275
1029,Cleburne County,Alabama,14172,14222,14416,14438,14339,14368,14538,14799,14874,14918,14972,14928,14889,14976,15025,14917,14853,14906,14987
1031,Coffee County,Alabama,43580,43716,43930,44315,45053,45604,46228,47458,48516,49440,49948,50435,51136,50677,50655,50952,51145,51777,51909
1033,Colbert County,Alabama,54997,54793,54536,54279,54380,54359,54413,54486,54473,54426,54428,54535,54572,54533,54468,54370,54367,54509,54762
1035,Conecuh County,Alabama,14035,13940,13793,13585,13430,13421,13603,13441,13388,13274,13228,13192,13044,12911,12679,12680,12501,12435,12277
37187,Conecuh County,Alabama,14035,13940,13793,13585,13430,13421,13603,13441,13388,13274,13228,12920,12679,12689,12496,12282,12122,12019,11859
1035,Washington County,North Carolina,13695,13589,13472,13510,13393,13401,13305,13176,13300,13252,13228,13192,13044,12911,12679,12680,12501,12435,12277
37187,Washington County,North Carolina,13695,13589,13472,13510,13393,13401,13305,13176,13300,13252,13228,12920,12679,12689,12496,12282,12122,12019,11859
1037,Coosa County,Alabama,11844,11848,11740,11732,11560,11467,11451,11439,11493,11410,11539,11487,11347,11256,11038,10938,10826,10757,10715
26085,Coosa County,Alabama,11844,11848,11740,11732,11560,11467,11451,11439,11493,11410,11539,11454,11458,11391,11395,11695,11858,11984,11881
1037,Lake County,Michigan,11338,11444,11390,11611,11757,11792,11707,11692,11629,11593,11539,11487,11347,11256,11038,10938,10826,10757,10715
26085,Lake County,Michigan,11338,11444,11390,11611,11757,11792,11707,11692,11629,11593,11539,11454,11458,11391,11395,11695,11858,11984,11881
1039,Covington County,Alabama,37514,37069,36901,36860,36806,37204,37441,37631,37545,37648,37765,38019,37804,37812,37756,37551,37382,37078,36986
1041,Crenshaw County,Alabama,13692,13724,13635,13652,13727,13699,13880,13956,13922,14024,13906,13899,13921,13854,13859,13857,13922,13861,13824
1043,Cullman County,Alabama,77473,77415,77443,77657,78131,78692,79044,79576,80273,80351,80406,80401,80273,80688,81067,81764,82456,82836,83442
1045,Dale County,Alabama,49124,49254,49373,49215,49245,49050,49077,49488,49871,49854,50251,50112,50284,49772,49417,49349,49301,49254,48956
1047,Dallas County,Alabama,46198,46132,45377,45170,44795,44434,44323,44194,44265,43759,43820,43256,42795,41983,41562,40948,40092,39235,38310
1049,DeKalb County,Alabama,64650,65678,65861,66530,67260,67794,68495,69450,70228,70864,71109,71352,70937,70911,70999,71112,71101,71404,71385
