GeoID,Year,D_Etab,D_Emp,D_Pay,G_Etab,G_Emp,G_Pay
1055,2005,23,195,2189,25,913,13355
1073,2005,98,940,12949,162,7238,116756
1089,2005,53,454,5614,38,2327,37914
4001,2005,12,80,1150,11,306,5385
4003,2005,28,217,2738,16,1031,19205
4013,2005,250,2519,38089,489,34304,661766
5069,2005,21,189,2029,20,579,8966
6031,2005,4,47,679,28,706,17740
6045,2005,10,69,996,51,1312,30462
6055,2005,5,36,606,35,1695,39994
6113,2005,8,114,1626,43,1838,43983
8001,2005,24,231,4142,54,2709,71073
8005,2005,40,754,11241,78,4695,118404
8013,2005,13,333,5490,47,3317,79933
9003,2005,65,628,7967,215,10296,192248
9005,2005,8,78,1617,51,2277,42135
9009,2005,55,551,5876,184,8576,164950
12011,2005,147,1011,15037,380,19825,382341
12019,2005,15,137,1729,26,1604,28102
12031,2005,86,905,12320,219,9975,168055
12075,2005,12,70,769,6,325,5448
12086,2005,280,1630,22631,635,21664,413598
12095,2005,98,810,12271,235,10003,193050
12099,2005,98,652,11088,267,14746,297724
12117,2005,30,267,3445,67,4336,79839
13009,2005,8,74,923,9,385,4019
13035,2005,5,29,359,5,90,1289
13057,2005,17,134,1967,35,2451,34366
13067,2005,55,558,7465,110,8376,129718
13111,2005,6,70,788,5,245,3797
13121,2005,83,742,11016,215,10789,172662
13133,2005,4,27,311,9,227,4108
13135,2005,64,488,6428,123,8104,127479
13137,2005,13,85,1156,8,322,4627
13145,2005,4,46,758,8,88,1142
13163,2005,9,51,585,7,222,2814
13175,2005,12,101,1252,10,541,8812
13193,2005,3,27,459,7,95,1174
13199,2005,6,52,576,6,162,1985
13213,2005,9,83,711,6,302,3806
13251,2005,4,28,355,3,113,1503
13273,2005,4,29,326,3,61,725
13277,2005,9,60,750,9,318,5107
13283,2005,3,23,251,4,67,483
13291,2005,5,37,725,5,189,2484
13297,2005,12,83,935,9,461,8243
13311,2005,6,31,400,5,237,3495
13317,2005,6,45,498,7,189,2438
15007,2005,6,55,870,22,836,16720
16001,2005,31,361,4650,48,2775,67794
16031,2005,8,63,657,7,218,4001
16069,2005,3,17,288,11,390,8250
16079,2005,3,5,33,6,163,2510
17031,2005,496,3107,48300,1497,39192,750224
17043,2005,50,425,5609,166,6942,135158
17067,2005,5,33,418,6,81,904
17089,2005,32,365,4672,74,3108,56909
17095,2005,9,110,1447,12,734,11084
17099,2005,13,230,3611,27,1256,18184
17111,2005,19,314,4389,40,1627,29093
17125,2005,5,47,617,6,161,1806
17135,2005,5,55,645,6,136,2294
17173,2005,4,35,398,4,110,1226
17177,2005,6,46,619,9,329,5770
17197,2005,28,268,4142,70,3997,74476
18009,2005,4,40,430,7,160,2154
18029,2005,6,59,675,9,342,4660
18047,2005,3,54,473,6,114,1453
18055,2005,6,50,527,7,223,2562
18057,2005,10,99,1244,38,2576,37025
18081,2005,13,145,1260,15,865,12411
18087,2005,6,65,1245,8,147,2227
18089,2005,54,481,6082,90,4217,72029
18091,2005,12,82,1162,22,782,11145
18097,2005,111,952,13661,149,7812,112901
18127,2005,15,165,1802,15,1111,16743
18131,2005,3,27,282,5,90,1377
18137,2005,4,43,415,16,561,6096
18141,2005,24,206,2508,39,2180,32096
18149,2005,8,130,2638,5,114,1941
18157,2005,9,75,1063,20,1458,15299
18181,2005,4,59,632,6,159,2164
19011,2005,6,79,1034,6,147,1870
19037,2005,4,51,638,4,118,1426
19063,2005,4,50,649,7,178,2695
19153,2005,39,425,5001,61,5243,91178
20015,2005,7,44,501,11,573,8629
20079,2005,5,53,543,7,319,4076
20091,2005,26,255,3190,81,5597,109858
20131,2005,3,29,357,7,149,1624
20161,2005,4,50,604,7,331,4246
20191,2005,3,17,108,4,125,1961
21015,2005,10,102,1495,13,1567,17537
21029,2005,8,74,859,10,693,9548
21045,2005,5,51,659,8,78,862
21089,2005,9,58,610,6,167,2437
21117,2005,14,113,1531,33,1905,21241
21141,2005,7,72,822,7,145,1953
