GeoID,FD_num_2015,FD_pct_2015
1001,17497,32.06
1003,30561,16.77
1005,6070,22.11
1007,969,4.23
1009,3724,6.50
1011,4142,37.95
1013,1304,6.23
1015,27786,23.43
1017,7132,20.84
1019,104,0.40
1021,1470,3.37
1023,2703,19.50
1025,5713,22.11
1027,643,4.61
1029,790,5.27
1031,10486,20.99
1033,11096,20.39
1035,3558,26.90
1037,2829,24.52
1039,3769,9.98
1041,5279,37.96
1043,5900,7.34
1045,14037,27.93
1047,7640,17.44
1049,2680,3.77
1051,15064,19.00
1053,5059,13.20
1055,23290,22.30
1057,407,2.36
1059,3663,11.56
1061,605,2.26
1063,2963,32.76
1065,1865,11.83
1067,805,4.66
1069,18341,18.06
1071,4219,7.93
1073,205658,31.23
1075,230,1.58
1077,12476,13.46
1079,1648,4.80
1081,36836,26.27
1083,9339,11.28
1085,2540,22.48
1087,8051,37.53
1089,88544,26.45
1091,5125,24.37
1093,1929,6.27
1095,10485,11.27
1097,103769,25.13
1099,5712,24.76
1101,66181,28.85
1103,15514,12.98
1105,882,8.32
1107,529,2.68
1109,4535,13.79
1111,3375,14.73
1113,6226,11.76
1115,4562,5.46
1117,47122,24.15
1119,2305,16.74
1121,11038,13.41
1123,3485,8.37
1125,34860,17.91
1127,7859,11.73
1129,1479,8.41
1131,4997,42.82
1133,1459,5.96
2013,2203,70.14
2016,1243,22.36
2020,80040,27.43
2050,11505,67.62
2060,997,100.00
2068,1826,100.00
2070,2462,50.78
2090,33612,34.45
2100,519,20.69
2105,2137,99.39
2110,10063,32.17
2122,10889,19.65
2130,1063,7.88
2150,1949,14.34
2164,1629,99.86
2170,23011,25.86
2180,5276,55.58
2185,5522,58.56
2188,4322,57.45
2195,180,4.72
2198,1759,31.64
2220,1632,18.38
2230,3,0.31
2240,3323,47.28
2261,5011,52.00
2270,4615,61.87
2275,511,21.55
2282,662,100.00
2290,5588,100.00
4001,50447,70.54
4003,55219,42.04
4005,41436,30.83
4007,17451,32.56
4009,13894,37.33
4011,5896,69.88
4012,8847,43.18
4013,511216,13.39
4015,88342,44.13
4017,41411,38.54
4019,218482,22.29
4021,80762,21.49
4023,12583,26.54
4025,68597,32.51
4027,39777,20.32
5001,7184,37.77
5003,4634,21.20
5005,4618,11.12
5007,34547,15.61
5009,8412,22.79
5011,1240,10.78
5013,3494,65.08
5015,1943,7.08
5017,7116,60.30
5019,9423,40.98
5021,1646,10.23
5023,2342,9.02
5025,1839,21.16
5027,4237,17.26
5029,3553,16.70
5031,15955,16.54
5033,10484,16.92
5035,6477,12.72
5037,2383,13.34
5039,3354,41.32
5041,4559,35.05
5043,3989,21.55
5045,18909,16.70
5047,1180,6.51
5049,2343,19.14
5051,27118,28.24
5053,2119,11.87
5055,9621,22.86
5057,6581,29.11
5059,5166,15.69
5061,5677,41.17
5063,5563,15.18
5065,151,1.10
5067,3108,17.27
5069,14581,18.83
5071,1503,5.88
5073,1616,21.14
5075,5223,29.99
5077,4722,45.30
5079,4694,33.21
5081,1915,14.54
5083,2070,9.26
5085,12276,17.96
5087,3813,24.26
5089,2255,13.54
5091,14529,33.43
