GeoID,Pop_2015,FD_num_2015,FD_pct_2015
1001,55035,17497,32.06
1003,203690,30561,16.77
1005,26270,6070,22.11
1007,22561,969,4.23
1009,57676,3724,6.5
1011,10455,4142,37.95
1013,20126,1304,6.23
1015,115285,27786,23.43
1017,34043,7132,20.84
1019,25726,104,0.4
1021,43809,1470,3.37
1023,13201,2703,19.5
1025,24726,5713,22.11
1027,13495,643,4.61
1029,14996,790,5.27
1031,51063,10486,20.99
1033,54295,11096,20.39
1035,12597,3558,26.9
1037,10687,2829,24.52
1039,37661,3769,9.98
1041,13876,5279,37.96
1043,81858,5900,7.34
1045,49370,14037,27.93
1047,40893,7640,17.44
1049,70996,2680,3.77
1051,81238,15064,19.0
1053,37827,5059,13.2
1055,102873,23290,22.3
1057,16723,407,2.36
1059,31542,3663,11.56
1061,26755,605,2.26
1063,8450,2963,32.76
1065,15075,1865,11.83
1067,17191,805,4.66
1069,104225,18341,18.06
1071,52298,4219,7.93
1073,660007,205658,31.23
1075,13902,230,1.58
1077,92477,12476,13.46
1079,33133,1648,4.8
1081,156767,36836,26.27
1083,91622,9339,11.28
1085,10422,2540,22.48
1087,19215,8051,37.53
1089,353302,88544,26.45
1091,19912,5125,24.37
1093,30145,1929,6.27
1095,94693,10485,11.27
1097,414634,103769,25.13
1099,21697,5712,24.76
1101,226868,66181,28.85
1103,119387,15514,12.98
1105,9683,882,8.32
1107,20827,529,2.68
1109,33376,4535,13.79
1111,22703,3375,14.73
1113,58858,6226,11.76
1115,86986,4562,5.46
1117,208527,47122,24.15
1119,13244,2305,16.74
1121,80749,11038,13.41
1123,40755,3485,8.37
1125,204321,34860,17.91
1127,65291,7859,11.73
1129,16901,1479,8.41
1131,11030,4997,42.82
1133,23854,1459,5.96
2013,3317,2203,70.14
2016,5739,1243,22.36
2020,298312,80040,27.43
2050,17940,11505,67.62
2060,892,997,100.0
2068,1913,1826,100.0
2070,4999,2462,50.78
2090,99639,33612,34.45
2100,2484,519,20.69
2105,2118,2137,99.39
2110,32603,10063,32.17
2122,58044,10889,19.65
2130,13689,1063,7.88
2150,13789,1949,14.34
2164,1567,1629,99.86
2170,101120,23011,25.86
2180,9875,5276,55.58
2185,9690,5522,58.56
2188,7764,4322,57.45
2195,3149,180,4.72
2198,6360,1759,31.64
2220,8844,1632,18.38
2230,1058,3,0.31
2240,6826,3323,47.28
2261,9308,5011,52.0
2275,2400,511,21.55
2282,620,662,100.0
2290,5541,5588,100.0
4001,71594,50447,70.54
4003,126395,55219,42.04
4005,139076,41436,30.83
4007,53138,17451,32.56
4009,37673,13894,37.33
4011,9525,5896,69.88
4012,20147,8847,43.18
4013,4161637,511216,13.39
4015,204165,88342,44.13
4017,108363,41411,38.54
4019,1008205,218482,22.29
4021,406220,80762,21.49
4023,46137,12583,26.54
4025,221584,68597,32.51
4027,203706,39777,20.32
5001,18373,7184,37.77
5003,20810,4634,21.2
5005,41070,4618,11.12
5007,250851,34547,15.61
5009,37229,8412,22.79
5011,11053,1240,10.78
5013,5209,3494,65.08
5015,27744,1943,7.08
5017,10985,7116,60.3
5019,22642,9423,40.98
5021,15067,1646,10.23
5023,25469,2342,9.02
5025,8299,1839,21.16
5027,24140,4237,17.26
5029,20994,3553,16.7
5031,104362,15955,16.54
5033,61894,10484,16.92
5035,48985,6477,12.72
5037,17282,2383,13.34
5039,7583,3354,41.32
5041,12007,4559,35.05
5043,18675,3989,21.55
5045,121343,18909,16.7
5047,17709,1180,6.51
5049,12188,2343,19.14
5051,97154,27118,28.24
5053,18030,2119,11.87
5055,44167,9621,22.86
5057,22038,6581,29.11
5059,33483,5166,15.69
5061,13350,5677,41.17
5063,37073,5563,15.18
5065,13454,151,1.1
5067,17350,3108,17.27
5069,71764,14581,18.83
5071,26146,1503,5.88
5073,6981,1616,21.14
5075,16741,5223,29.99
5077,9645,4722,45.3
5079,13841,4694,33.21
5081,12445,1915,14.54
5083,21796,2070,9.26
5085,71697,12276,17.96
5087,15717,3813,24.26
5089,16214,2255,13.54
5091,43899,14529,33.43
5093,43699,5863,12.61
5095,7415,1020,12.52
5097,8972,2109,22.23
5099,8553,2632,29.25
5101,7923,3653,43.85
5103,24370,6757,25.87
5105,10182,1491,14.27
5107,19534,10961,50.38
5109,10854,2603,23.06
5111,24028,8364,34.02
5113,20225,7940,38.43
5115,63492,8395,13.59
5117,8280,3227,37.03
5119,392932,101839,26.61
5121,17455,5763,32.07
5123,26578,7660,27.11
5125,117358,23913,22.32
5127,10510,1943,17.3
5129,7850,2757,33.64
5131,127590,12919,10.27
5133,17226,4002,23.46
5135,16931,3878,22.47
