GeoID,Pop_2015
1001,55035
1003,203690
1005,26270
1007,22561
1009,57676
1011,10455
1013,20126
1015,115285
1017,34043
1019,25726
1021,43809
1023,13201
1025,24726
1027,13495
1029,14996
1031,51063
1033,54295
1035,12597
1037,10687
1039,37661
1041,13876
1043,81858
1045,49370
1047,40893
1049,70996
1051,81238
1053,37827
1055,102873
1057,16723
1059,31542
1061,26755
1063,8450
1065,15075
1067,17191
1069,104225
1071,52298
1073,660007
1075,13902
1077,92477
1079,33133
1081,156767
1083,91622
1085,10422
1087,19215
1089,353302
1091,19912
1093,30145
1095,94693
1097,414634
1099,21697
1101,226868
1103,119387
1105,9683
1107,20827
1109,33376
1111,22703
1113,58858
1115,86986
1117,208527
1119,13244
1121,80749
1123,40755
1125,204321
1127,65291
1129,16901
1131,11030
1133,23854
2013,3317
2016,5739
2020,298312
2050,17940
2060,892
2068,1913
2070,4999
2090,99639
2100,2484
2105,2118
2110,32603
2122,58044
2130,13689
2150,13789
2158,8109
2164,1567
2170,101120
2180,9875
2185,9690
2188,7764
2195,3149
2198,6360
2220,8844
2230,1058
2240,6826
2261,9308
2275,2400
2282,620
2290,5541
4001,71594
4003,126395
4005,139076
4007,53138
4009,37673
4011,9525
4012,20147
4013,4161637
4015,204165
4017,108363
4019,1008205
4021,406220
4023,46137
4025,221584
4027,203706
5001,18373
5003,20810
5005,41070
5007,250851
5009,37229
5011,11053
5013,5209
5015,27744
5017,10985
5019,22642
5021,15067
5023,25469
5025,8299
5027,24140
5029,20994
5031,104362
5033,61894
5035,48985
5037,17282
5039,7583
5041,12007
5043,18675
5045,121343
5047,17709
5049,12188
5051,97154
5053,18030
5055,44167
5057,22038
5059,33483
5061,13350
5063,37073
5065,13454
5067,17350
5069,71764
5071,26146
5073,6981
5075,16741
5077,9645
5079,13841
5081,12445
5083,21796
5085,71697
5087,15717
5089,16214
5091,43899
5093,43699
5095,7415
5097,8972
5099,8553
5101,7923
5103,24370
5105,10182
5107,19534
5109,10854
5111,24028
5113,20225
5115,63492
5117,8280
5119,392932
5121,17455
5123,26578
5125,117358
5127,10510
5129,7850
5131,127590
5133,17226
5135,16931
5137,12430
5139,40158
5141,16780
5143,224233
5145,79013
5147,6727
5149,21607
6001,1632747
6003,1106
6005,37026
6007,225251
6009,44840
6011,21318
6013,1123231
6015,27301
6017,184359
6019,972130
6021,27961
6023,135383
6025,179806
6027,18251
6029,879497
6031,150331
6033,64446
6035,31333
6037,10112255
6039,154306
6041,261054
6043,17553
6045,87353
6047,267101
6049,8933
6051,13885
6053,432007
6055,141854
6057,98829
6059,3156573
6061,374383
6063,18401
6065,2352892
6067,1496644
6069,58473
6071,2122545
6073,3290245
6075,862004
6077,723496
6079,280960
6081,763191
6083,443815
6085,1910105
6087,273627
6089,179301
