GeoID,County,State,Year,D_Etab,D_Emp,D_Pay,G_Etab,G_Emp,G_Pay,Pop_2014,D_Cap,G_Cap,FD_num_2014,FD_pct_2014
1003,Baldwin County,Alabama,2014,49,356,6297,29,1725,35783,199189,4065,6868,43141,21.66
1007,Bibb County,Alabama,2014,5,40,624,5,124,2519,22541,4508,4508,2377,10.55
1015,Calhoun County,Alabama,2014,32,239,4170,27,880,16001,115995,3624,4296,23645,20.38
1017,Chambers County,Alabama,2014,10,67,1016,7,226,3755,33980,3398,4854,6351,18.69
1021,Chilton County,Alabama,2014,11,74,1048,6,187,3881,43769,3979,7294,10694,24.43
1045,Dale County,Alabama,2014,12,106,1486,8,131,2402,49417,4118,6177,11415,23.1
1047,Dallas County,Alabama,2014,15,105,1462,8,252,4955,41562,2770,5195,10863,26.14
1051,Elmore County,Alabama,2014,17,132,2061,10,307,5757,80568,4739,8056,18451,22.9
1053,Escambia County,Alabama,2014,16,214,2054,4,198,2858,37738,2358,9434,29425,77.97
1055,Etowah County,Alabama,2014,26,219,3382,13,391,7426,103407,3977,7954,26175,25.31
1059,Franklin County,Alabama,2014,8,79,1071,8,181,2804,31561,3945,3945,5917,18.75
1061,Geneva County,Alabama,2014,9,66,1115,10,277,4133,26597,2955,2659,1628,6.12
1067,Henry County,Alabama,2014,4,30,541,3,105,1515,17082,4270,5694,2420,14.17
1069,Houston County,Alabama,2014,36,271,3641,16,818,17497,104156,2893,6509,37341,35.85
1073,Jefferson County,Alabama,2014,128,1228,18769,108,4822,99210,659918,5155,6110,137546,20.84
1077,Lauderdale County,Alabama,2014,28,218,3377,17,648,10096,93013,3321,5471,27039,29.07
1091,Marengo County,Alabama,2014,8,82,987,3,90,1931,19980,2497,6660,6733,33.7
1095,Marshall County,Alabama,2014,25,252,3437,21,601,8848,94277,3771,4489,28581,30.32
1097,Mobile County,Alabama,2014,110,967,14409,60,2685,47371,414590,3769,6909,124490,30.03
1103,Morgan County,Alabama,2014,27,219,3246,16,500,10944,119458,4424,7466,27219,22.79
1109,Pike County,Alabama,2014,8,60,899,6,159,2912,33197,4149,5532,6155,18.54
1113,Russell County,Alabama,2014,20,188,2916,12,266,6326,59211,2960,4934,13469,22.75
1117,Shelby County,Alabama,2014,24,207,3236,26,1328,30490,206356,8598,7936,31936,15.48
1119,Sumter County,Alabama,2014,6,43,683,3,64,816,13275,2212,4425,-932,-7.02
1123,Tallapoosa County,Alabama,2014,14,109,1667,6,238,4454,40887,2920,6814,11465,28.04
1125,Tuscaloosa County,Alabama,2014,37,382,5705,21,1266,25172,203097,5489,9671,49312,24.28
1131,Wilcox County,Alabama,2014,6,41,732,7,60,1160,10953,1825,1564,-6854,-62.58
2050,Bethel Census Area,Alaska,2014,13,246,4392,22,452,8419,17933,1379,815,-2766,-15.42
4001,Apache County,Arizona,2014,10,79,1226,9,294,6322,71820,7182,7980,15872,22.1
4003,Cochise County,Arizona,2014,24,184,2715,19,695,16480,127352,5306,6702,23793,18.68
4005,Coconino County,Arizona,2014,17,115,2166,21,1272,27710,137583,8093,6551,21080,15.32
4007,Gila County,Arizona,2014,8,66,994,7,351,8709,53070,6633,7581,12428,23.42
4009,Graham County,Arizona,2014,6,50,624,6,301,5666,38124,6354,6354,11718,30.74
4013,Maricopa County,Arizona,2014,246,3102,50820,494,29038,726938,4095508,16648,8290,199757,4.88
4015,Mohave County,Arizona,2014,32,330,5191,19,1368,34297,203474,6358,10709,38360,18.85
4017,Navajo County,Arizona,2014,22,154,2513,14,699,15564,107724,4896,7694,21613,20.06
4019,Pima County,Arizona,2014,90,964,14679,127,7839,196642,1004675,11163,7910,93679,9.32
4021,Pinal County,Arizona,2014,31,301,4886,29,1632,37353,395915,12771,13652,52714,13.31
4025,Yavapai County,Arizona,2014,32,270,4570,32,2062,50497,217739,6804,6804,30116,13.83
4027,Yuma County,Arizona,2014,23,218,3496,31,1298,23518,204283,8881,6589,34675,16.97
5001,Arkansas County,Arkansas,2014,6,43,870,4,214,3399,18476,3079,4619,514,2.78
5009,Boone County,Arkansas,2014,11,121,1979,4,167,3328,37102,3372,9275,11382,30.68
5009,Miami County,Indiana,2014,11,121,1979,4,167,3328,37102,3372,9275,11382,30.68
5015,Carroll County,Arkansas,2014,8,48,736,5,146,2907,27735,3466,5547,4211,15.18
5033,Crawford County,Arkansas,2014,15,98,1748,8,148,2953,61817,4121,7727,11562,18.7
5035,Crittenden County,Arkansas,2014,14,112,1606,9,376,6282,49577,3541,5508,13545,27.32
5045,Faulkner County,Arkansas,2014,23,194,2711,10,687,12170,120567,5242,12056,36406,30.2
5051,Garland County,Arkansas,2014,22,167,2779,17,569,11929,97754,4443,5750,17841,18.25
5057,Hempstead County,Arkansas,2014,5,55,791,3,98,1939,22338,4467,7446,6615,29.61
5059,Hot Spring County,Arkansas,2014,7,45,742,6,102,1660,33400,4771,5566,5297,15.86
5063,Independence County,Arkansas,2014,9,67,982,6,149,2810,37079,4119,6179,7769,20.95
5065,Izard County,Arkansas,2014,9,49,696,4,105,1435,13553,1505,3388,73,0.54
5069,Jefferson County,Arkansas,2014,21,197,2945,17,571,9867,72469,3450,4262,19152,26.43
5085,Lonoke County,Arkansas,2014,18,119,1966,8,339,5904,71338,3963,8917,18506,25.94
5091,Miller County,Arkansas,2014,12,85,1265,7,241,4424,43566,3630,6223,10223,23.47
5111,Poinsett County,Arkansas,2014,9,61,839,5,205,2743,24152,2683,4830,5690,23.56
5115,Pope County,Arkansas,2014,15,146,2008,7,451,7261,63111,4207,9015,22741,36.03
5119,Pulaski County,Arkansas,2014,72,684,10214,63,3098,66622,392990,5458,6237,79452,20.22
5131,Sebastian County,Arkansas,2014,25,228,3811,19,530,10440,126784,5071,6672,23061,18.19
5139,Union County,Arkansas,2014,12,103,1522,6,162,3363,40140,3345,6690,9971,24.84
6001,Alameda County,California,2014,57,1142,19460,377,12230,352443,1608674,28222,4267,-19220,-1.19
6007,Butte County,California,2014,17,218,3426,46,1685,49296,223570,13151,4860,18075,8.08
6013,Contra Costa County,California,2014,42,878,13502,196,8808,262807,1109358,26413,5659,22199,2.0
6017,El Dorado County,California,2014,7,117,2446,33,1579,48504,183161,26165,5550,30466,16.63
6019,Fresno County,California,2014,88,1107,16529,250,5696,153257,961311,10923,3845,47311,4.92
6023,Humboldt County,California,2014,16,113,2046,45,1411,36935,134514,8407,2989,6253,4.65
6029,Kern County,California,2014,95,965,16356,185,5872,139827,869957,9157,4702,63744,7.33
6037,Los Angeles County,California,2014,661,9702,189118,2076,76502,1965424,10048408,15201,4840,-13434,-0.13
6039,Madera County,California,2014,9,137,2021,38,994,27192,153590,17065,4041,23643,15.39
6041,Marin County,California,2014,14,185,2848,71,3673,115759,260435,18602,3668,5744,2.21
6045,Mendocino County,California,2014,13,97,1329,47,1347,37903,87257,6712,1856,-46,-0.05
6047,Merced County,California,2014,22,334,4980,64,1281,30064,264649,12029,4135,27731,10.48
6053,Monterey County,California,2014,26,261,4720,113,3158,86195,428980,16499,3796,11289,2.63
6057,Nevada County,California,2014,5,32,415,27,1199,35428,98589,19717,3651,22763,23.09
6059,Orange County,California,2014,169,2505,45451,529,27991,712116,3130322,18522,5917,67592,2.16
6061,Placer County,California,2014,19,295,4672,66,3448,105303,369326,19438,5595,20723,5.61
6065,Riverside County,California,2014,139,2040,31706,367,16603,446499,2317955,16675,6315,88899,3.84
