GeoID,Year,D_Etab,D_Emp,D_Pay,G_Etab,G_Emp,G_Pay,Pop_2015,FD_num_2015,FD_pct_2015,D_Cap,G_Cap
1001,2015,11,93,1703,5,283,5691,55035,17497,32.06,1591,11007
1003,2015,50,429,7054,30,1774,36515,203690,30561,16.77,611,6790
1005,2015,8,60,844,4,159,2733,26270,6070,22.11,759,6568
1007,2015,5,40,596,5,111,2497,22561,969,4.23,194,4512
1015,2015,34,263,4461,29,832,15066,115285,27786,23.43,817,3975
1017,2015,10,72,1020,7,225,3736,34043,7132,20.84,713,4863
1019,2015,9,54,794,5,98,1727,25726,104,0.4,12,5145
1021,2015,9,74,1066,7,179,3820,43809,1470,3.37,163,6258
1025,2015,14,131,1866,6,290,4709,24726,5713,22.11,408,4121
1027,2015,5,36,534,3,103,1440,13495,643,4.61,129,4498
1031,2015,13,113,1696,6,266,5752,51063,10486,20.99,807,8511
1033,2015,16,116,1863,8,340,4763,54295,11096,20.39,694,6787
1039,2015,13,102,1392,6,300,5120,37661,3769,9.98,290,6277
1043,2015,25,204,3371,17,621,10088,81858,5900,7.34,236,4815
1045,2015,13,112,1575,6,106,2169,49370,14037,27.93,1080,8228
1047,2015,14,119,1566,8,253,4960,40893,7640,17.44,546,5112
1049,2015,17,141,2240,14,326,5161,70996,2680,3.77,158,5071
1051,2015,18,137,2200,8,293,5800,81238,15064,19,837,10155
1053,2015,15,209,2062,4,177,2949,37827,5059,13.2,337,9457
1055,2015,28,272,4093,14,462,9013,102873,23290,22.3,832,7348
1059,2015,7,74,1012,9,195,3196,31542,3663,11.56,523,3505
1061,2015,8,60,1086,10,273,4052,26755,605,2.26,76,2676
1067,2015,4,35,554,3,85,1158,17191,805,4.66,201,5730
1069,2015,32,271,3920,16,863,18506,104225,18341,18.06,573,6514
1071,2015,12,72,1450,10,218,3099,52298,4219,7.93,352,5230
1073,2015,128,1296,19553,105,5189,107877,660007,205658,31.23,1607,6286
1075,2015,7,40,904,3,77,1235,13902,230,1.58,33,4634
1077,2015,27,194,3162,21,737,12851,92477,12476,13.46,462,4404
1081,2015,26,257,3901,18,982,20343,156767,36836,26.27,1417,8709
1083,2015,16,124,2080,9,361,8648,91622,9339,11.28,584,10180
1087,2015,6,51,805,4,121,1806,19215,8051,37.53,1342,4804
1089,2015,68,639,9934,44,2514,56462,353302,88544,26.45,1302,8030
1091,2015,8,88,1009,3,113,1927,19912,5125,24.37,641,6637
1093,2015,7,50,823,4,65,1399,30145,1929,6.27,276,7536
1095,2015,25,241,3528,23,716,11545,94693,10485,11.27,419,4117
1097,2015,110,988,14831,59,2730,50585,414634,103769,25.13,943,7028
1099,2015,9,64,984,5,151,2136,21697,5712,24.76,635,4339
1101,2015,47,496,7279,33,1685,30313,226868,66181,28.85,1408,6875
1103,2015,27,201,3176,18,594,13906,119387,15514,12.98,575,6633
1105,2015,4,25,400,3,52,915,9683,882,8.32,221,3228
1107,2015,7,55,860,4,131,1907,20827,529,2.68,76,5207
1109,2015,8,65,881,6,170,2876,33376,4535,13.79,567,5563
1111,2015,8,50,691,3,132,2444,22703,3375,14.73,422,7568
1113,2015,21,202,3044,11,333,6439,58858,6226,11.76,296,5351
1115,2015,23,151,2443,14,269,5939,86986,4562,5.46,198,6213
1117,2015,25,202,3232,28,1449,35800,208527,47122,24.15,1885,7447
1119,2015,6,46,672,3,67,760,13244,2305,16.74,384,4415
1121,2015,25,185,2821,8,322,6504,80749,11038,13.41,442,10094
1123,2015,16,119,1809,7,367,5194,40755,3485,8.37,218,5822
1125,2015,38,405,6043,25,1423,28177,204321,34860,17.91,917,8173
1127,2015,20,165,2519,10,343,5829,65291,7859,11.73,393,6529
1131,2015,6,47,682,6,56,1052,11030,4997,42.82,833,1838
1133,2015,7,55,774,6,199,3839,23854,1459,5.96,208,3976
2020,2015,6,57,1952,33,1445,43417,298312,80040,27.43,13340,9040
2050,2015,14,269,2760,22,466,8435,17940,11505,67.62,822,815
2122,2015,5,27,760,19,627,19323,58044,10889,19.65,2178,3055
2180,2015,3,41,584,18,261,5420,9875,5276,55.58,1759,549
2185,2015,5,26,512,8,133,3562,9690,5522,58.56,1104,1211
2290,2015,4,29,424,9,32,810,5541,5588,100,1397,616
4001,2015,9,74,961,9,330,6830,71594,50447,70.54,5605,7955
4003,2015,19,174,2293,17,684,17016,126395,55219,42.04,2906,7435
4005,2015,17,133,2294,21,1366,31819,139076,41436,30.83,2437,6623
4007,2015,7,68,912,7,356,9564,53138,17451,32.56,2493,7591
4013,2015,241,3178,50788,496,30021,770632,4161637,511216,13.39,2121,8390
4015,2015,32,331,5217,19,1421,35360,204165,88342,44.13,2761,10746
4017,2015,22,156,2442,14,697,15982,108363,41411,38.54,1882,7740
4019,2015,91,992,14982,132,8096,207063,1008205,218482,22.29,2401,7638
4021,2015,30,322,5050,30,1631,40015,406220,80762,21.49,2692,13541
4023,2015,12,88,1476,9,270,6567,46137,12583,26.54,1049,5126
4025,2015,31,275,4326,30,2023,51424,221584,68597,32.51,2213,7386
4027,2015,24,227,3506,31,1104,23638,203706,39777,20.32,1657,6571
5001,2015,6,42,698,4,203,3023,18373,7184,37.77,1197,4593
5005,2015,10,81,1327,7,322,5667,41070,4618,11.12,462,5867
5007,2015,31,232,3939,36,1679,40711,250851,34547,15.61,1114,6968
5009,2015,12,122,2019,7,166,3571,37229,8412,22.79,701,5318
5015,2015,8,48,765,5,140,2838,27744,1943,7.08,243,5549
5023,2015,9,72,939,7,133,2466,25469,2342,9.02,260,3638
5027,2015,7,66,965,3,88,1642,24140,4237,17.26,605,8047
5029,2015,7,33,608,4,89,1892,20994,3553,16.7,508,5249
5031,2015,27,198,3195,21,721,14537,104362,15955,16.54,591,4970
5035,2015,14,114,1629,8,380,5842,48985,6477,12.72,463,6123
5045,2015,23,187,2745,13,880,17274,121343,18909,16.7,822,9334
5051,2015,25,215,3188,16,617,12787,97154,27118,28.24,1085,6072
5055,2015,9,64,1052,7,232,3559,44167,9621,22.86,1069,6310
5057,2015,5,54,780,3,97,1980,22038,6581,29.11,1316,7346
5059,2015,8,45,755,6,124,1857,33483,5166,15.69,646,5581
5063,2015,9,59,1000,7,184,3551,37073,5563,15.18,618,5296
5065,2015,8,47,674,4,107,1428,13454,151,1.1,19,3364
5067,2015,6,25,447,3,112,1750,17350,3108,17.27,518,5783
5069,2015,23,201,3079,16,580,9925,71764,14581,18.83,634,4485
5085,2015,19,131,2067,8,374,7018,71697,12276,17.96,646,8962
5091,2015,11,76,1231,7,221,3155,43899,14529,33.43,1321,6271
5093,2015,12,109,1597,12,315,5646,43699,5863,12.61,489,3642
5103,2015,8,65,929,5,162,2651,24370,6757,25.87,845,4874
5107,2015,9,46,598,7,95,1649,19534,10961,50.38,1218,2791
5111,2015,9,63,873,5,151,2248,24028,8364,34.02,929,4806
5113,2015,7,52,870,4,52,833,20225,7940,38.43,1134,5056
5115,2015,16,164,2395,8,454,9357,63492,8395,13.59,525,7937
5119,2015,74,707,10604,58,2928,62890,392932,101839,26.61,1376,6775
5123,2015,8,73,809,6,74,1373,26578,7660,27.11,958,4430
5125,2015,26,177,3100,11,478,8324,117358,23913,22.32,920,10669
5129,2015,3,22,242,3,80,1133,7850,2757,33.64,919,2617
5131,2015,23,220,3810,18,525,11645,127590,12919,10.27,562,7088
5135,2015,7,47,647,3,78,1238,16931,3878,22.47,554,5644
5139,2015,12,114,1617,8,205,3946,40158,10944,26.28,912,5020
5143,2015,28,194,3145,35,1837,38140,224233,29544,14.55,1055,6407
5145,2015,26,182,2929,13,519,9164,79013,9452,12.26,364,6078
6001,2015,59,1165,15818,370,13748,403050,1632747,107964,7.15,1830,4413
6007,2015,20,273,4111,50,1767,50667,225251,46598,21.18,2330,4505
6009,2015,4,16,160,11,514,10607,44840,4578,10.04,1145,4076
6011,2015,5,20,361,9,92,1957,21318,1771,8.27,354,2369
6013,2015,45,918,13665,204,9680,295473,1123231,200374,19.1,4453,5506
6017,2015,8,118,2726,35,1778,50995,184359,52705,29.11,6588,5267
6019,2015,86,1126,16888,248,6251,163954,972130,85484,9.19,994,3920
6021,2015,4,35,539,8,120,2753,27961,2538,9.02,635,3495
6023,2015,15,136,2207,43,1445,38813,135383,21099,15.67,1407,3148
6025,2015,19,315,4728,33,908,22832,179806,30616,17.54,1611,5449
6029,2015,93,1067,17485,190,5968,131220,879497,122097,14.54,1313,4629
6031,2015,10,140,2075,30,682,17839,150331,29477,19.27,2948,5011
6035,2015,3,34,302,7,200,5458,31333,17122,49.07,5707,4476
6037,2015,661,10175,190835,2056,78734,2060293,10112255,622625,6.34,942,4918
6039,2015,10,158,2297,36,1047,28668,154306,31477,20.86,3148,4286
6041,2015,13,180,2847,71,3767,120554,261054,30189,11.96,2322,3677
6045,2015,12,98,1345,46,1435,39466,87353,15255,17.37,1271,1899
6047,2015,23,359,5415,65,1310,34322,267101,40077,15.67,1742,4109
6053,2015,24,273,4705,113,3139,89475,432007,51148,12.32,2131,3823
6055,2015,5,29,745,40,1664,47654,141854,13840,10.14,2768,3546
6057,2015,5,46,622,28,1306,37064,98829,26700,27.03,5340,3530
6059,2015,162,2698,48038,525,27450,727412,3156573,195971,6.51,1210,6013
6061,2015,20,301,4779,67,3963,112376,374383,54219,15.56,2711,5588
6065,2015,138,2176,32300,367,17481,485161,2352892,437849,20,3173,6411
6067,2015,67,1775,19592,276,11308,311012,1496644,193705,13.65,2891,5423
6071,2015,152,2750,46132,317,13746,365103,2122545,433153,21.28,2850,6696
6073,2015,133,2572,42152,615,27228,694677,3290245,424211,13.7,3190,5350
6075,2015,32,390,8104,371,8140,243900,862004,4474,0.56,140,2323
6077,2015,38,836,11926,153,4170,118494,723496,86687,12.65,2281,4729
6079,2015,12,211,3218,80,2955,69006,280960,42276,15.68,3523,3512
6081,2015,25,657,14748,180,7129,221543,763191,69489,9.67,2780,4240
6083,2015,20,337,4791,133,4868,124718,443815,57598,13.59,2880,3337
6085,2015,59,993,14894,362,15561,454349,1910105,132928,7.46,2253,5277
6087,2015,12,177,2889,71,3110,91485,273627,36862,14.05,3072,3854
6089,2015,17,212,3074,38,1361,38679,179301,41275,23.29,2428,4718
6095,2015,17,387,5174,74,3381,90492,434321,72339,17.5,4255,5869
6097,2015,27,337,4483,138,6350,179972,501474,74694,15.44,2766,3634
6099,2015,41,628,8664,134,3903,106719,535385,60420,11.74,1474,3995
6101,2015,5,123,1525,20,577,15625,95978,31557,33.31,6311,4799
6103,2015,7,77,1224,12,407,10309,63073,12744,20.08,1821,5256
6107,2015,45,526,8140,119,2940,70063,458238,59680,13.5,1326,3851
6109,2015,8,87,1127,16,507,15131,53615,16108,29.09,2014,3351
6111,2015,58,852,13925,175,7460,198013,847719,130817,15.89,2255,4844
6113,2015,14,187,2496,42,2147,58697,212202,12376,6.16,884,5052
6115,2015,5,44,795,10,204,5678,74299,14994,20.78,2999,7430
8001,2015,32,307,5039,65,3251,91339,490674,66896,15.15,2091,7549
8005,2015,39,451,7299,97,5830,176890,629241,69482,12.15,1782,6487
8007,2015,3,30,224,4,120,3980,12384,3601,29.8,1200,3096
8013,2015,6,93,1279,58,4059,119467,318738,43147,14.65,7191,5495
8015,2015,3,8,336,7,155,4696,18606,1783,10.01,594,2658
8029,2015,4,32,564,6,264,7036,29950,2612,8.44,653,4992
8031,2015,38,395,6310,127,5695,167134,680032,55276,9.21,1455,5355
8035,2015,7,52,865,27,2251,72399,322381,54681,19.16,7812,11940
8037,2015,5,21,477,17,903,27927,53346,8058,15.44,1612,3138
8041,2015,42,463,7527,59,3984,109042,674290,168374,27.06,4009,11429
8043,2015,3,34,321,5,221,6161,46713,16168,34.53,5389,9343
8059,2015,33,381,5638,61,4819,149860,565143,121653,22.76,3686,9265
8063,2015,3,29,609,4,48,1039,8234,921,11.14,307,2059
