GeoID,County,State,Year,D_Etab,D_Emp,D_Pay,G_Etab,G_Emp,G_Pay,Pop,D_Cap,G_Cap,FD_num,FD_pct
1055,Etowah County,Alabama,2005,23,195,2189,25,913,13355,103174,4485,4126,40657,39.41
1073,Jefferson County,Alabama,2005,98,940,12949,162,7238,116756,654919,6682,4042,233646,35.68
1089,Madison County,Alabama,2005,53,454,5614,38,2327,37914,301474,5688,7933,108943,36.14
4001,Apache County,Arizona,2005,12,80,1150,11,306,5385,68521,5710,6229,12896,18.82
4003,Cochise County,Arizona,2005,28,217,2738,16,1031,19205,125786,4492,7861,48139,38.27
4013,Maricopa County,Arizona,2005,250,2519,38089,489,34304,661766,3538988,14155,7237,890788,25.17
5069,Jefferson County,Arkansas,2005,21,189,2029,20,579,8966,80562,3836,4028,32527,40.38
6031,Kings County,California,2005,4,47,679,28,706,17740,145147,36286,5183,69322,47.76
6045,Mendocino County,California,2005,10,69,996,51,1312,30462,87981,8798,1725,27138,30.85
6055,Napa County,California,2005,5,36,606,35,1695,39994,130381,26076,3725,67345,51.65
6113,Yolo County,California,2005,8,114,1626,43,1838,43983,186269,23283,4331,69070,37.08
8001,Adams County,Colorado,2005,24,231,4142,54,2709,71073,395146,16464,7317,79341,20.08
8005,Arapahoe County,Colorado,2005,40,754,11241,78,4695,118404,524466,13111,6723,144277,27.51
8013,Boulder County,Colorado,2005,13,333,5490,47,3317,79933,280241,21557,5962,98565,35.17
9003,Hartford County,Connecticut,2005,65,628,7967,215,10296,192248,878081,13508,4084,262586,29.9
9005,Litchfield County,Connecticut,2005,8,78,1617,51,2277,42135,188912,23614,3704,69555,36.82
9009,New Haven County,Connecticut,2005,55,551,5876,184,8576,164950,847162,15402,4604,238688,28.18
12011,Broward County,Florida,2005,147,1011,15037,380,19825,382341,1746896,11883,4597,484611,27.74
12019,Clay County,Florida,2005,15,137,1729,26,1604,28102,169418,11294,6516,54748,32.32
12031,Duval County,Florida,2005,86,905,12320,219,9975,168055,828988,9639,3785,270871,32.67
12075,Levy County,Florida,2005,12,70,769,6,325,5448,38355,3196,6392,12149,31.68
12086,Miami-Dade County,Florida,2005,280,1630,22631,635,21664,413598,2385872,8520,3757,606758,25.43
12095,Orange County,Florida,2005,98,810,12271,235,10003,193050,1053341,10748,4482,261749,24.85
12099,Palm Beach County,Florida,2005,98,652,11088,267,14746,297724,1278380,13044,4787,339268,26.54
12117,Seminole County,Florida,2005,30,267,3445,67,4336,79839,406840,13561,6072,125492,30.85
13009,Baldwin County,Georgia,2005,8,74,923,9,385,4019,46304,5788,5144,13023,28.12
13035,Butts County,Georgia,2005,5,29,359,5,90,1289,22055,4411,4411,-54,-0.24
13057,Cherokee County,Georgia,2005,17,134,1967,35,2451,34366,182128,10713,5203,67339,36.97
13067,Cobb County,Georgia,2005,55,558,7465,110,8376,129718,646754,11759,5879,229542,35.49
13111,Fannin County,Georgia,2005,6,70,788,5,245,3797,22174,3695,4434,5917,26.68
13121,Fulton County,Georgia,2005,83,742,11016,215,10789,172662,818737,9864,3808,269095,32.87
13133,Greene County,Georgia,2005,4,27,311,9,227,4108,15499,3874,1722,-95,-0.61
13135,Gwinnett County,Georgia,2005,64,488,6428,123,8104,127479,710978,11109,5780,225572,31.73
13137,Habersham County,Georgia,2005,13,85,1156,8,322,4627,39155,3011,4894,10524,26.88
13145,Harris County,Georgia,2005,4,46,758,8,88,1142,28170,7042,3521,2104,7.47
13163,Jefferson County,Georgia,2005,9,51,585,7,222,2814,16924,1880,2417,2620,15.48
13175,Laurens County,Georgia,2005,12,101,1252,10,541,8812,46751,3895,4675,17531,37.5
13193,Macon County,Georgia,2005,3,27,459,7,95,1174,14241,4747,2034,-3289,-23.1
13199,Meriwether County,Georgia,2005,6,52,576,6,162,1985,22587,3764,3764,2914,12.9
13213,Murray County,Georgia,2005,9,83,711,6,302,3806,39723,4413,6620,14652,36.89
13251,Screven County,Georgia,2005,4,28,355,3,113,1503,15065,3766,5021,-1409,-9.35
13273,Terrell County,Georgia,2005,4,29,326,3,61,725,10134,2533,3378,-4415,-43.57
13273,Crittenden County,Kentucky,2005,4,29,326,3,61,725,9138,2284,3046,-4913,-53.76
13277,Tift County,Georgia,2005,9,60,750,9,318,5107,38789,4309,4309,8810,22.71
13283,Treutlen County,Georgia,2005,3,23,251,4,67,483,6679,2226,1669,-6429,-96.26
13291,Union County,Georgia,2005,5,37,725,5,189,2484,19856,3971,3971,-1615,-8.13
13297,Walton County,Georgia,2005,12,83,935,9,461,8243,73696,6141,8188,20745,28.15
13311,White County,Georgia,2005,6,31,400,5,237,3495,24690,4115,4938,3289,13.32
13317,Wilkes County,Georgia,2005,6,45,498,7,189,2438,10553,1758,1507,-1293,-12.25
15007,Kauai County,Hawaii,2005,6,55,870,22,836,16720,62863,10477,2857,23258,37.0
16001,Ada County,Idaho,2005,31,361,4650,48,2775,67794,348755,11250,7265,98867,28.35
16031,Cassia County,Idaho,2005,8,63,657,7,218,4001,21372,2671,3053,4770,22.32
16031,Seward County,Kansas,2005,8,63,657,7,218,4001,22334,2791,3190,5010,22.43
16069,Nez Perce County,Idaho,2005,3,17,288,11,390,8250,38071,12690,3461,17724,46.56
16079,Shoshone County,Idaho,2005,3,5,33,6,163,2510,12912,4304,2152,-1853,-14.35
17031,Cook County,Illinois,2005,496,3107,48300,1497,39192,750224,5207615,10499,3478,940656,18.06
17043,DuPage County,Illinois,2005,50,425,5609,166,6942,135158,911378,18227,5490,187724,20.6
17067,Hancock County,Illinois,2005,5,33,418,6,81,904,19479,3895,3246,-1437,-7.38
17089,Kane County,Illinois,2005,32,365,4672,74,3108,56909,475384,14855,6424,107534,22.62
17095,Knox County,Illinois,2005,9,110,1447,12,734,11084,53513,5945,4459,21844,40.82
17099,LaSalle County,Illinois,2005,13,230,3611,27,1256,18184,112565,8658,4169,36422,32.36
17111,McHenry County,Illinois,2005,19,314,4389,40,1627,29093,294280,15488,7357,67755,23.02
17125,Mason County,Illinois,2005,5,47,617,6,161,1806,15471,3094,2578,-891,-5.76
17135,Montgomery County,Illinois,2005,5,55,645,6,136,2294,30288,6057,5048,5806,19.17
17173,Shelby County,Illinois,2005,4,35,398,4,110,1226,22445,5611,5611,2860,12.74
17177,Stephenson County,Illinois,2005,6,46,619,9,329,5770,48105,8017,5345,12377,25.73
17197,Will County,Illinois,2005,28,268,4142,70,3997,74476,627610,22414,8965,125245,19.96
18009,Blackford County,Indiana,2005,4,40,430,7,160,2154,13392,3348,1913,-790,-5.9
18029,Dearborn County,Indiana,2005,6,59,675,9,342,4660,48421,8070,5380,14736,30.43
18047,Franklin County,Indiana,2005,3,54,473,6,114,1453,23049,7683,3841,8592,37.28
18055,Greene County,Indiana,2005,6,50,527,7,223,2562,33320,5553,4760,7683,23.06
18057,Hamilton County,Indiana,2005,10,99,1244,38,2576,37025,235039,23503,6185,89746,38.18
18081,Johnson County,Indiana,2005,13,145,1260,15,865,12411,126769,9751,8451,44509,35.11
18087,LaGrange County,Indiana,2005,6,65,1245,8,147,2227,36283,6047,4535,1249,3.44
18089,Lake County,Indiana,2005,54,481,6082,90,4217,72029,489530,9065,5439,142171,29.04
18091,LaPorte County,Indiana,2005,12,82,1162,22,782,11145,109541,9128,4979,27022,24.67
18097,Marion County,Indiana,2005,111,952,13661,149,7812,112901,873310,7867,5861,257600,29.5
18127,Porter County,Indiana,2005,15,165,1802,15,1111,16743,156024,10401,10401,50415,32.31
18131,Pulaski County,Indiana,2005,3,27,282,5,90,1377,13682,4560,2736,-1104,-8.07
18137,Ripley County,Indiana,2005,4,43,415,16,561,6096,28040,7010,1752,13317,47.49
18141,St. Joseph County,Indiana,2005,24,206,2508,39,2180,32096,264863,11035,6791,75932,28.67
18149,Starke County,Indiana,2005,8,130,2638,5,114,1941,23394,2924,4678,-6472,-27.67
18157,Tippecanoe County,Indiana,2005,9,75,1063,20,1458,15299,158834,17648,7941,55762,35.11
18181,White County,Indiana,2005,4,59,632,6,159,2164,24861,6215,4143,6645,26.73
19011,Benton County,Iowa,2005,6,79,1034,6,147,1870,26265,4377,4377,3837,14.61
19037,Chickasaw County,Iowa,2005,4,51,638,4,118,1426,12561,3140,3140,-1530,-12.18
19063,Emmet County,Iowa,2005,4,50,649,7,178,2695,10527,2631,1503,-2434,-23.12
19153,Polk County,Iowa,2005,39,425,5001,61,5243,91178,399030,10231,6541,161447,40.46
20015,Butler County,Kansas,2005,7,44,501,11,573,8629,62547,8935,5686,20737,33.15
20079,Harvey County,Kansas,2005,5,53,543,7,319,4076,33566,6713,4795,11507,34.28
20091,Johnson County,Kansas,2005,26,255,3190,81,5597,109858,504441,19401,6227,156757,31.08
20131,Nemaha County,Kansas,2005,3,29,357,7,149,1624,10367,3455,1481,-3107,-29.97
20161,Riley County,Kansas,2005,4,50,604,7,331,4246,64751,16187,9250,28431,43.91
20191,Sumner County,Kansas,2005,3,17,108,4,125,1961,24795,8265,6198,7359,29.68
21015,Boone County,Kentucky,2005,10,102,1495,13,1567,17537,105456,10545,8112,46991,44.56
21029,Bullitt County,Kentucky,2005,8,74,859,10,693,9548,68620,8577,6862,25567,37.26
21045,Casey County,Kentucky,2005,5,51,659,8,78,862,15845,3169,1980,-2712,-17.12
21089,Greenup County,Kentucky,2005,9,58,610,6,167,2437,36530,4058,6088,7219,19.76
21117,Kenton County,Kentucky,2005,14,113,1531,33,1905,21241,153769,10983,4659,55105,35.84
21141,Logan County,Kentucky,2005,7,72,822,7,145,1953,26721,3817,3817,4453,16.66
21151,Madison County,Kentucky,2005,14,117,1318,14,477,6376,78732,5623,5623,22899,29.08
21163,Meade County,Kentucky,2005,5,71,947,5,195,2235,29732,5946,5946,6733,22.65
21179,Nelson County,Kentucky,2005,7,52,551,6,343,4194,40582,5797,6763,12013,29.6
22075,Plaquemines Parish,Louisiana,2005,7,58,440,7,238,2657,29558,4222,4222,8944,30.26
22113,Vermilion Parish,Louisiana,2005,9,66,700,21,471,6919,55828,6203,2658,14395,25.78
23015,Lincoln County,Maine,2005,7,58,1040,14,432,7705,34864,4980,2490,5444,15.61
23027,Waldo County,Maine,2005,5,78,1405,11,302,5177,38410,7682,3491,6764,17.61
24001,Allegany County,Maryland,2005,11,130,1601,22,717,8895,73979,6725,3362,24443,33.04
