GeoID,Year,State,County,D_Etab,G_Etab,D_Cap,G_Cap,Pop,FD_num,FD_pct
1055,2005,Alabama,Etowah County,23,25,4485,4126,103174,40657,39.41
1073,2005,Alabama,Jefferson County,98,162,6682,4042,654919,233646,35.68
1089,2005,Alabama,Madison County,53,38,5688,7933,301474,108943,36.14
4001,2005,Arizona,Apache County,12,11,5710,6229,68521,12896,18.82
4003,2005,Arizona,Cochise County,28,16,4492,7861,125786,48139,38.27
4013,2005,Arizona,Maricopa County,250,489,14155,7237,3538988,890788,25.17
5069,2005,Arkansas,Jefferson County,21,20,3836,4028,80562,32527,40.38
6031,2005,California,Kings County,4,28,36286,5183,145147,69322,47.76
6045,2005,California,Mendocino County,10,51,8798,1725,87981,27138,30.85
6055,2005,California,Napa County,5,35,26076,3725,130381,67345,51.65
6113,2005,California,Yolo County,8,43,23283,4331,186269,69070,37.08
8001,2005,Colorado,Adams County,24,54,16464,7317,395146,79341,20.08
8005,2005,Colorado,Arapahoe County,40,78,13111,6723,524466,144277,27.51
8013,2005,Colorado,Boulder County,13,47,21557,5962,280241,98565,35.17
9003,2005,Connecticut,Hartford County,65,215,13508,4084,878081,262586,29.9
9005,2005,Connecticut,Litchfield County,8,51,23614,3704,188912,69555,36.82
9009,2005,Connecticut,New Haven County,55,184,15402,4604,847162,238688,28.18
12011,2005,Florida,Broward County,147,380,11883,4597,1746896,484611,27.74
12019,2005,Florida,Clay County,15,26,11294,6516,169418,54748,32.32
12031,2005,Florida,Duval County,86,219,9639,3785,828988,270871,32.67
12075,2005,Florida,Levy County,12,6,3196,6392,38355,12149,31.68
12086,2005,Florida,Miami-Dade County,280,635,8520,3757,2385872,606758,25.43
12095,2005,Florida,Orange County,98,235,10748,4482,1053341,261749,24.85
12099,2005,Florida,Palm Beach County,98,267,13044,4787,1278380,339268,26.54
12117,2005,Florida,Seminole County,30,67,13561,6072,406840,125492,30.85
13009,2005,Georgia,Baldwin County,8,9,5788,5144,46304,13023,28.12
13035,2005,Georgia,Butts County,5,5,4411,4411,22055,-54,-0.24
13057,2005,Georgia,Cherokee County,17,35,10713,5203,182128,67339,36.97
13067,2005,Georgia,Cobb County,55,110,11759,5879,646754,229542,35.49
13111,2005,Georgia,Fannin County,6,5,3695,4434,22174,5917,26.68
13121,2005,Georgia,Fulton County,83,215,9864,3808,818737,269095,32.87
13133,2005,Georgia,Greene County,4,9,3874,1722,15499,-95,-0.61
13135,2005,Georgia,Gwinnett County,64,123,11109,5780,710978,225572,31.73
13137,2005,Georgia,Habersham County,13,8,3011,4894,39155,10524,26.88
13145,2005,Georgia,Harris County,4,8,7042,3521,28170,2104,7.47
13163,2005,Georgia,Jefferson County,9,7,1880,2417,16924,2620,15.48
13175,2005,Georgia,Laurens County,12,10,3895,4675,46751,17531,37.5
