GeoID,County,State,PercentRural,Rural
1001,Autauga County, Alabama,42.0,Urban
1003,Baldwin County, Alabama,42.3,Urban
1005,Barbour County, Alabama,67.8,Suburban
1007,Bibb County, Alabama,68.4,Suburban
1009,Blount County, Alabama,90.0,Suburban
1011,Bullock County, Alabama,51.4,Suburban
1013,Butler County, Alabama,71.2,Suburban
1015,Calhoun County, Alabama,33.7,Urban
1017,Chambers County, Alabama,49.1,Urban
1019,Cherokee County, Alabama,85.7,Suburban
1021,Chilton County, Alabama,86.7,Suburban
1023,Choctaw County, Alabama,100.0,Rural
1025,Clarke County, Alabama,76.0,Suburban
1027,Clay County, Alabama,100.0,Rural
1029,Cleburne County, Alabama,100.0,Rural
1031,Coffee County, Alabama,47.2,Urban
1033,Colbert County, Alabama,43.9,Urban
1035,Conecuh County, Alabama,80.9,Suburban
1037,Coosa County, Alabama,100.0,Rural
1039,Covington County, Alabama,69.7,Suburban
1041,Crenshaw County, Alabama,100.0,Rural
1043,Cullman County, Alabama,73.2,Suburban
1045,Dale County, Alabama,50.9,Suburban
1047,Dallas County, Alabama,45.6,Urban
1049,DeKalb County, Alabama,90.1,Suburban
1051,Elmore County, Alabama,54.2,Suburban
1053,Escambia County, Alabama,63.5,Suburban
1055,Etowah County, Alabama,37.5,Urban
1057,Fayette County, Alabama,80.2,Suburban
1059,Franklin County, Alabama,70.4,Suburban
1061,Geneva County, Alabama,89.6,Suburban
1063,Greene County, Alabama,100.0,Rural
1065,Hale County, Alabama,89.2,Suburban
1067,Henry County, Alabama,87.8,Suburban
1069,Houston County, Alabama,33.8,Urban
1071,Jackson County, Alabama,77.0,Suburban
1073,Jefferson County, Alabama,9.8,Urban
1075,Lamar County, Alabama,100.0,Rural
1077,Lauderdale County, Alabama,49.3,Urban
1079,Lawrence County, Alabama,91.3,Suburban
1081,Lee County, Alabama,27.4,Urban
1083,Limestone County, Alabama,57.6,Suburban
1085,Lowndes County, Alabama,100.0,Rural
1087,Macon County, Alabama,55.5,Suburban
1089,Madison County, Alabama,16.4,Urban
1091,Marengo County, Alabama,69.3,Suburban
1093,Marion County, Alabama,88.9,Suburban
1095,Marshall County, Alabama,53.3,Suburban
1097,Mobile County, Alabama,20.0,Urban
1099,Monroe County, Alabama,79.0,Suburban
1101,Montgomery County, Alabama,10.5,Urban
1103,Morgan County, Alabama,38.6,Urban
1105,Perry County, Alabama,100.0,Rural
1107,Pickens County, Alabama,100.0,Rural
1109,Pike County, Alabama,51.7,Suburban
1111,Randolph County, Alabama,81.3,Suburban
1113,Russell County, Alabama,35.4,Urban
1115,St. Clair County, Alabama,72.8,Suburban
1117,Shelby County, Alabama,22.9,Urban
1119,Sumter County, Alabama,100.0,Rural
1121,Talladega County, Alabama,55.8,Suburban
1123,Tallapoosa County, Alabama,74.2,Suburban
1125,Tuscaloosa County, Alabama,25.5,Urban
1127,Walker County, Alabama,74.1,Suburban
1129,Washington County, Alabama,100.0,Rural
1131,Wilcox County, Alabama,100.0,Rural
1133,Winston County, Alabama,84.9,Suburban
2013,Aleutians East Borough, Alaska,100.0,Rural
2016,Aleutians West Census Area, Alaska,100.0,Rural
2020,Anchorage Municipality, Alaska,4.1,Urban
2050,Bethel Census Area, Alaska,73.9,Suburban
2060,Bristol Bay Borough, Alaska,100.0,Rural
2068,Denali Borough, Alaska,100.0,Rural
2070,Dillingham Census Area, Alaska,100.0,Rural
2090,Fairbanks North Star Borough, Alaska,30.9,Urban
2100,Haines Borough, Alaska,100.0,Rural
2105,Hoonah-Angoon Census Area, Alaska,100.0,Rural
2110,Juneau City and Borough, Alaska,21.5,Urban
2122,Kenai Peninsula Borough, Alaska,79.3,Suburban
2130,Ketchikan Gateway Borough, Alaska,23.2,Urban
2150,Kodiak Island Borough, Alaska,31.3,Urban
2158,Kusilvak Census Area, Alaska,100.0,Rural
2164,Lake and Peninsula Borough, Alaska,100.0,Rural
2170,Matanuska-Susitna Borough, Alaska,50.3,Suburban
2180,Nome Census Area, Alaska,66.1,Suburban
2185,North Slope Borough, Alaska,59.3,Suburban
2188,Northwest Arctic Borough, Alaska,57.5,Suburban
2195,Petersburg Census Area, Alaska,100.0,Rural
2198,Prince of Wales-Hyder Census Area, Alaska,100.0,Rural
2220,Sitka City and Borough, Alaska,20.9,Urban
2230,Skagway Municipality, Alaska,100.0,Rural
2240,Southeast Fairbanks Census Area, Alaska,100.0,Rural
2261,Valdez-Cordova Census Area, Alaska,100.0,Rural
2275,Wrangell City and Borough, Alaska,100.0,Rural
2282,Yakutat City and Borough, Alaska,100.0,Rural
2290,Yukon-Koyukuk Census Area, Alaska,100.0,Rural
4001,Apache County, Arizona,74.1,Suburban
4003,Cochise County, Arizona,36.3,Urban
4005,Coconino County, Arizona,31.5,Urban
4007,Gila County, Arizona,41.1,Urban
4009,Graham County, Arizona,46.4,Urban
4011,Greenlee County, Arizona,46.6,Urban
4012,La Paz County, Arizona,56.3,Suburban
4013,Maricopa County, Arizona,2.4,Urban
4015,Mohave County, Arizona,23.0,Urban
4017,Navajo County, Arizona,54.1,Suburban
4019,Pima County, Arizona,7.5,Urban
4021,Pinal County, Arizona,21.9,Urban
4023,Santa Cruz County, Arizona,26.9,Urban
4025,Yavapai County, Arizona,33.2,Urban
4027,Yuma County, Arizona,10.4,Urban
5001,Arkansas County, Arkansas,34.7,Urban
5003,Ashley County, Arkansas,51.7,Suburban
5005,Baxter County, Arkansas,65.8,Suburban
5007,Benton County, Arkansas,25.2,Urban
5009,Boone County, Arkansas,62.2,Suburban
5011,Bradley County, Arkansas,49.6,Urban
5013,Calhoun County, Arkansas,100.0,Rural
5015,Carroll County, Arkansas,72.8,Suburban
5017,Chicot County, Arkansas,54.3,Suburban
5019,Clark County, Arkansas,54.4,Suburban
5021,Clay County, Arkansas,58.9,Suburban
5023,Cleburne County, Arkansas,75.5,Suburban
5025,Cleveland County, Arkansas,100.0,Rural
5027,Columbia County, Arkansas,57.5,Suburban
5029,Conway County, Arkansas,70.5,Suburban
5031,Craighead County, Arkansas,32.2,Urban
5033,Crawford County, Arkansas,52.0,Suburban
5035,Crittenden County, Arkansas,20.9,Urban
5037,Cross County, Arkansas,56.8,Suburban
5039,Dallas County, Arkansas,52.6,Suburban
5041,Desha County, Arkansas,31.4,Urban
5043,Drew County, Arkansas,48.6,Urban
5045,Faulkner County, Arkansas,38.8,Urban
5047,Franklin County, Arkansas,82.6,Suburban
5049,Fulton County, Arkansas,92.9,Suburban
5051,Garland County, Arkansas,36.9,Urban
5053,Grant County, Arkansas,75.0,Suburban
5055,Greene County, Arkansas,41.5,Urban
5057,Hempstead County, Arkansas,55.8,Suburban
5059,Hot Spring County, Arkansas,66.0,Suburban
5061,Howard County, Arkansas,67.5,Suburban
5063,Independence County, Arkansas,68.6,Suburban
5065,Izard County, Arkansas,100.0,Rural
5067,Jackson County, Arkansas,65.1,Suburban
5069,Jefferson County, Arkansas,30.9,Urban
5071,Johnson County, Arkansas,71.4,Suburban
5073,Lafayette County, Arkansas,100.0,Rural
5075,Lawrence County, Arkansas,63.6,Suburban
5077,Lee County, Arkansas,63.5,Suburban
5079,Lincoln County, Arkansas,100.0,Rural
5081,Little River County, Arkansas,68.5,Suburban
5083,Logan County, Arkansas,71.0,Suburban
5085,Lonoke County, Arkansas,44.8,Urban
5087,Madison County, Arkansas,100.0,Rural
5089,Marion County, Arkansas,100.0,Rural
5091,Miller County, Arkansas,40.0,Urban
5093,Mississippi County, Arkansas,36.3,Urban
5095,Monroe County, Arkansas,69.0,Suburban
5097,Montgomery County, Arkansas,100.0,Rural
5099,Nevada County, Arkansas,69.2,Suburban
5101,Newton County, Arkansas,100.0,Rural
5103,Ouachita County, Arkansas,56.3,Suburban
5105,Perry County, Arkansas,100.0,Rural
5107,Phillips County, Arkansas,48.0,Urban
5109,Pike County, Arkansas,100.0,Rural
5111,Poinsett County, Arkansas,71.1,Suburban
5113,Polk County, Arkansas,73.4,Suburban
5115,Pope County, Arkansas,54.5,Suburban
5117,Prairie County, Arkansas,100.0,Rural
5119,Pulaski County, Arkansas,12.3,Urban
5121,Randolph County, Arkansas,67.4,Suburban
5123,St. Francis County, Arkansas,51.6,Suburban
5125,Saline County, Arkansas,36.2,Urban
5127,Scott County, Arkansas,70.4,Suburban
5129,Searcy County, Arkansas,100.0,Rural
5131,Sebastian County, Arkansas,20.8,Urban
5133,Sevier County, Arkansas,63.6,Suburban
5135,Sharp County, Arkansas,80.1,Suburban
5137,Stone County, Arkansas,100.0,Rural
5139,Union County, Arkansas,54.5,Suburban
5141,Van Buren County, Arkansas,100.0,Rural
5143,Washington County, Arkansas,25.5,Urban
5145,White County, Arkansas,54.3,Suburban
5147,Woodruff County, Arkansas,100.0,Rural
5149,Yell County, Arkansas,79.1,Suburban
6001,Alameda County, California,0.4,Urban
6003,Alpine County, California,100.0,Rural
6005,Amador County, California,60.4,Suburban
6007,Butte County, California,18.9,Urban
6009,Calaveras County, California,75.4,Suburban
6011,Colusa County, California,31.7,Urban
6013,Contra Costa County, California,0.8,Urban
6015,Del Norte County, California,33.7,Urban
6017,El Dorado County, California,34.7,Urban
6019,Fresno County, California,10.8,Urban
6021,Glenn County, California,40.9,Urban
6023,Humboldt County, California,29.8,Urban
6025,Imperial County, California,17.4,Urban
6027,Inyo County, California,46.4,Urban
6029,Kern County, California,10.2,Urban
6031,Kings County, California,10.9,Urban
6033,Lake County, California,33.1,Urban
6035,Lassen County, California,70.5,Suburban
6037,Los Angeles County, California,0.6,Urban
6039,Madera County, California,32.9,Urban
6041,Marin County, California,6.5,Urban
6043,Mariposa County, California,100.0,Rural
6045,Mendocino County, California,45.2,Urban
6047,Merced County, California,14.3,Urban
6049,Modoc County, California,70.0,Suburban
6051,Mono County, California,45.8,Urban
6053,Monterey County, California,9.8,Urban
6055,Napa County, California,13.4,Urban
6057,Nevada County, California,42.1,Urban
6059,Orange County, California,0.1,Urban
6061,Placer County, California,13.8,Urban
6063,Plumas County, California,74.0,Suburban
6065,Riverside County, California,4.6,Urban
6067,Sacramento County, California,2.1,Urban
6069,San Benito County, California,24.0,Urban
6071,San Bernardino County, California,4.7,Urban
6073,San Diego County, California,3.3,Urban
6075,San Francisco County, California,0.0,Urban
6077,San Joaquin County, California,8.5,Urban
6079,San Luis Obispo County, California,16.6,Urban
6081,San Mateo County, California,1.9,Urban
6083,Santa Barbara County, California,5.0,Urban
6085,Santa Clara County, California,1.1,Urban
6087,Santa Cruz County, California,12.0,Urban
6089,Shasta County, California,29.3,Urban
6091,Sierra County, California,99.7,Suburban
6093,Siskiyou County, California,65.8,Suburban
6095,Solano County, California,3.7,Urban
6097,Sonoma County, California,12.4,Urban
6099,Stanislaus County, California,8.0,Urban
6101,Sutter County, California,14.8,Urban
6103,Tehama County, California,51.5,Suburban
6105,Trinity County, California,100.0,Rural
6107,Tulare County, California,15.5,Urban
6109,Tuolumne County, California,49.0,Urban
6111,Ventura County, California,3.1,Urban
6113,Yolo County, California,6.9,Urban
6115,Yuba County, California,26.2,Urban
8001,Adams County, Colorado,3.6,Urban
8003,Alamosa County, Colorado,36.9,Urban
8005,Arapahoe County, Colorado,1.6,Urban
8007,Archuleta County, Colorado,59.4,Suburban
8009,Baca County, Colorado,100.0,Rural
8011,Bent County, Colorado,38.0,Urban
8013,Boulder County, Colorado,8.9,Urban
8014,Broomfield County, Colorado,0.6,Urban
8015,Chaffee County, Colorado,37.4,Urban
8017,Cheyenne County, Colorado,100.0,Rural
8019,Clear Creek County, Colorado,100.0,Rural
8021,Conejos County, Colorado,100.0,Rural
8023,Costilla County, Colorado,100.0,Rural
8025,Crowley County, Colorado,100.0,Rural
8027,Custer County, Colorado,100.0,Rural
8029,Delta County, Colorado,63.2,Suburban
8031,Denver County, Colorado,0.0,Urban
8033,Dolores County, Colorado,100.0,Rural
8035,Douglas County, Colorado,10.3,Urban
8037,Eagle County, Colorado,20.0,Urban
8039,Elbert County, Colorado,100.0,Rural
8041,El Paso County, Colorado,8.9,Urban
8043,Fremont County, Colorado,26.4,Urban
8045,Garfield County, Colorado,24.1,Urban
8047,Gilpin County, Colorado,100.0,Rural
8049,Grand County, Colorado,82.6,Suburban
8051,Gunnison County, Colorado,58.6,Suburban
8053,Hinsdale County, Colorado,100.0,Rural
8055,Huerfano County, Colorado,56.1,Suburban
8057,Jackson County, Colorado,100.0,Rural
8059,Jefferson County, Colorado,6.9,Urban
8061,Kiowa County, Colorado,100.0,Rural
8063,Kit Carson County, Colorado,48.7,Urban
8065,Lake County, Colorado,31.1,Urban
8067,La Plata County, Colorado,59.9,Suburban
8069,Larimer County, Colorado,11.7,Urban
8071,Las Animas County, Colorado,40.8,Urban
8073,Lincoln County, Colorado,100.0,Rural
8075,Logan County, Colorado,29.2,Urban
8077,Mesa County, Colorado,12.7,Urban
8079,Mineral County, Colorado,100.0,Rural
8081,Moffat County, Colorado,27.4,Urban
8083,Montezuma County, Colorado,67.2,Suburban
8085,Montrose County, Colorado,45.0,Urban
8087,Morgan County, Colorado,32.5,Urban
8089,Otero County, Colorado,34.4,Urban
8091,Ouray County, Colorado,100.0,Rural
8093,Park County, Colorado,100.0,Rural
8095,Phillips County, Colorado,100.0,Rural
8097,Pitkin County, Colorado,44.2,Urban
8099,Prowers County, Colorado,37.9,Urban
8101,Pueblo County, Colorado,14.2,Urban
8103,Rio Blanco County, Colorado,100.0,Rural
8105,Rio Grande County, Colorado,62.5,Suburban
8107,Routt County, Colorado,45.2,Urban
8109,Saguache County, Colorado,100.0,Rural
8111,San Juan County, Colorado,100.0,Rural
8113,San Miguel County, Colorado,100.0,Rural
8115,Sedgwick County, Colorado,100.0,Rural
8117,Summit County, Colorado,19.5,Urban
8119,Teller County, Colorado,62.6,Suburban
8121,Washington County, Colorado,100.0,Rural
8123,Weld County, Colorado,20.5,Urban
8125,Yuma County, Colorado,64.9,Suburban
9001,Fairfield County, Connecticut,4.6,Urban
9003,Hartford County, Connecticut,5.4,Urban
9005,Litchfield County, Connecticut,41.4,Urban
9007,Middlesex County, Connecticut,24.5,Urban
9009,New Haven County, Connecticut,3.6,Urban
9011,New London County, Connecticut,25.8,Urban
9013,Tolland County, Connecticut,38.2,Urban
9015,Windham County, Connecticut,49.8,Urban
10001,Kent County, Delaware,27.0,Urban
10003,New Castle County, Delaware,4.6,Urban
10005,Sussex County, Delaware,41.3,Urban
11001,District of Columbia, District of Columbia,0.0,Urban
12001,Alachua County, Florida,21.2,Urban
12003,Baker County, Florida,59.5,Suburban
12005,Bay County, Florida,12.0,Urban
12007,Bradford County, Florida,75.5,Suburban
12009,Brevard County, Florida,5.1,Urban
12011,Broward County, Florida,0.0,Urban
12013,Calhoun County, Florida,67.5,Suburban
12015,Charlotte County, Florida,8.9,Urban
12017,Citrus County, Florida,34.5,Urban
12019,Clay County, Florida,15.0,Urban
12021,Collier County, Florida,8.5,Urban
12023,Columbia County, Florida,62.1,Suburban
12027,DeSoto County, Florida,46.2,Urban
12029,Dixie County, Florida,77.0,Suburban
12031,Duval County, Florida,2.9,Urban
12033,Escambia County, Florida,8.3,Urban
12035,Flagler County, Florida,10.3,Urban
12037,Franklin County, Florida,68.0,Suburban
12039,Gadsden County, Florida,65.4,Suburban
12041,Gilchrist County, Florida,83.9,Suburban
12043,Glades County, Florida,70.6,Suburban
12045,Gulf County, Florida,77.1,Suburban
12047,Hamilton County, Florida,63.5,Suburban
12049,Hardee County, Florida,47.8,Urban
12051,Hendry County, Florida,37.9,Urban
12053,Hernando County, Florida,19.4,Urban
12055,Highlands County, Florida,21.1,Urban
12057,Hillsborough County, Florida,3.5,Urban
12059,Holmes County, Florida,78.8,Suburban
12061,Indian River County, Florida,5.0,Urban
12063,Jackson County, Florida,75.4,Suburban
12065,Jefferson County, Florida,100.0,Rural
12067,Lafayette County, Florida,100.0,Rural
12069,Lake County, Florida,19.3,Urban
12071,Lee County, Florida,5.8,Urban
12073,Leon County, Florida,12.3,Urban
12075,Levy County, Florida,92.0,Suburban
12077,Liberty County, Florida,100.0,Rural
12079,Madison County, Florida,80.0,Suburban
12081,Manatee County, Florida,5.8,Urban
12083,Marion County, Florida,31.0,Urban
12085,Martin County, Florida,8.5,Urban
12086,Miami-Dade County, Florida,0.4,Urban
12087,Monroe County, Florida,8.7,Urban
12089,Nassau County, Florida,48.1,Urban
12091,Okaloosa County, Florida,12.1,Urban
12093,Okeechobee County, Florida,36.5,Urban
12095,Orange County, Florida,2.0,Urban
12097,Osceola County, Florida,7.8,Urban
12099,Palm Beach County, Florida,1.0,Urban
12101,Pasco County, Florida,9.5,Urban
12103,Pinellas County, Florida,0.3,Urban
12105,Polk County, Florida,13.5,Urban
12107,Putnam County, Florida,56.2,Suburban
12109,St. Johns County, Florida,23.8,Urban
12111,St. Lucie County, Florida,3.4,Urban
12113,Santa Rosa County, Florida,21.0,Urban
12115,Sarasota County, Florida,4.3,Urban
12117,Seminole County, Florida,3.2,Urban
12119,Sumter County, Florida,35.0,Urban
12121,Suwannee County, Florida,83.2,Suburban
12123,Taylor County, Florida,69.3,Suburban
12125,Union County, Florida,67.4,Suburban
12127,Volusia County, Florida,9.9,Urban
12129,Wakulla County, Florida,61.7,Suburban
12131,Walton County, Florida,63.1,Suburban
12133,Washington County, Florida,84.6,Suburban
13001,Appling County, Georgia,71.4,Suburban
13003,Atkinson County, Georgia,100.0,Rural
13005,Bacon County, Georgia,69.3,Suburban
13007,Baker County, Georgia,100.0,Rural
13009,Baldwin County, Georgia,35.1,Urban
13011,Banks County, Georgia,93.8,Suburban
13013,Barrow County, Georgia,30.1,Urban
13015,Bartow County, Georgia,35.2,Urban
13017,Ben Hill County, Georgia,34.0,Urban
13019,Berrien County, Georgia,76.1,Suburban
13021,Bibb County, Georgia,14.4,Urban
13023,Bleckley County, Georgia,51.6,Suburban
13025,Brantley County, Georgia,99.4,Suburban
13027,Brooks County, Georgia,71.0,Suburban
13029,Bryan County, Georgia,52.3,Suburban
13031,Bulloch County, Georgia,48.3,Urban
13033,Burke County, Georgia,75.0,Suburban
13035,Butts County, Georgia,77.9,Suburban
13037,Calhoun County, Georgia,100.0,Rural
13039,Camden County, Georgia,31.4,Urban
13043,Candler County, Georgia,67.0,Suburban
13045,Carroll County, Georgia,41.8,Urban
13047,Catoosa County, Georgia,28.1,Urban
13049,Charlton County, Georgia,51.0,Suburban
13051,Chatham County, Georgia,4.5,Urban
13053,Chattahoochee County, Georgia,29.5,Urban
13055,Chattooga County, Georgia,57.6,Suburban
13057,Cherokee County, Georgia,17.1,Urban
13059,Clarke County, Georgia,5.9,Urban
13061,Clay County, Georgia,100.0,Rural
13063,Clayton County, Georgia,0.9,Urban
13065,Clinch County, Georgia,60.4,Suburban
13067,Cobb County, Georgia,0.2,Urban
13069,Coffee County, Georgia,66.6,Suburban
13071,Colquitt County, Georgia,58.9,Suburban
13073,Columbia County, Georgia,16.2,Urban
13075,Cook County, Georgia,59.4,Suburban
13077,Coweta County, Georgia,32.9,Urban
13079,Crawford County, Georgia,100.0,Rural
13081,Crisp County, Georgia,47.0,Urban
13083,Dade County, Georgia,72.1,Suburban
13085,Dawson County, Georgia,80.3,Suburban
13087,Decatur County, Georgia,56.5,Suburban
13089,DeKalb County, Georgia,0.3,Urban
13091,Dodge County, Georgia,72.2,Suburban
13093,Dooly County, Georgia,53.7,Suburban
13095,Dougherty County, Georgia,14.0,Urban
13097,Douglas County, Georgia,15.8,Urban
13099,Early County, Georgia,66.0,Suburban
13101,Echols County, Georgia,100.0,Rural
13103,Effingham County, Georgia,67.1,Suburban
13105,Elbert County, Georgia,70.6,Suburban
13107,Emanuel County, Georgia,66.9,Suburban
13109,Evans County, Georgia,61.3,Suburban
13111,Fannin County, Georgia,100.0,Rural
13113,Fayette County, Georgia,18.2,Urban
13115,Floyd County, Georgia,36.8,Urban
13117,Forsyth County, Georgia,9.9,Urban
13119,Franklin County, Georgia,88.9,Suburban
13121,Fulton County, Georgia,1.1,Urban
13123,Gilmer County, Georgia,87.6,Suburban
13125,Glascock County, Georgia,100.0,Rural
13127,Glynn County, Georgia,20.6,Urban
13129,Gordon County, Georgia,51.6,Suburban
13131,Grady County, Georgia,62.4,Suburban
13133,Greene County, Georgia,82.7,Suburban
13135,Gwinnett County, Georgia,0.5,Urban
13137,Habersham County, Georgia,58.8,Suburban
13139,Hall County, Georgia,20.6,Urban
13141,Hancock County, Georgia,61.6,Suburban
13143,Haralson County, Georgia,77.4,Suburban
13145,Harris County, Georgia,96.7,Suburban
13147,Hart County, Georgia,74.5,Suburban
13149,Heard County, Georgia,100.0,Rural
13151,Henry County, Georgia,13.9,Urban
13153,Houston County, Georgia,10.0,Urban
13155,Irwin County, Georgia,64.7,Suburban
